Haleluya! Pujilah Allah dalam tempat kudus-Nya! Pujilah Dia dalam cakrawala-Nya yang kuat!	Molja’agi PANGERAN! Molja’agi Pangeran e dhalem Padalemmanna! Molja’agi kakowadanna e bang-abang!
Ketika Allah mendengarnya, Ia menjadi gemas, Ia menolak Israel sama sekali;	Ngoladi jareya Allah ce’ dukana, ommat Isra’il etolak ta’ eparduli sakale.
Ia membuang kediaman-Nya di Silo kemah yang didiami-Nya di antara manusia;	Allah adinggallagi Kemahna e Silo, kalenggiyanna e nga’-tengnga’anna manossa.
Ia membiarkan kekuatan-Nya tertawan, membiarkan kehormatan-Nya jatuh ke tangan lawan;	Petthe Parjanjiyan lambang kobasa ban kamolja’anna bi’ Allah epanneng maske egiba buru moso.
Ia membiarkan umat-Nya dimakan pedang, dan gemaslah Ia atas milik-Nya sendiri.	Allah duka ka ommat kaagunganna, daddi epanneng maske epate’e moso ban peddhang.
Anak-anak teruna mereka dimakan api, dan anak-anak dara mereka tidak lagi dipuja dengan nyanyian perkawinan;	Ngangodhadanna mate ekello’ apoy, ban-parabanna tadha’ se ngabine.
imam-imam mereka gugur oleh pedang, dan janda-janda mereka tidak dapat menangis.	Mam-imamma mate bi’ peddhang, dha-randhana ta’ ngenneng nanges.
Lalu terjagalah Tuhan, seperti orang yang tertidur, seperti pahlawan yang siuman dari mabuk anggur;	Pangeran ngadek akantha oreng se jaga tedhung, akantha oreng se kowat samarena mabu’ ngenom anggur.
Ia memukul mundur para lawan-Nya, Ia menyebabkan mereka mendapat cela untuk selama-lamanya.	Mosona padha nyorot tadha’ karena, padha epakala salanjangnga.
Ia menolak kemah Yusuf, dan suku Efraim tidak dipilih-Nya,	Toronanna Yusup etolak, suku Efraim tadha’ se epeleya.
tetapi Ia memilih suku Yehuda, gunung Sion yang dikasihi-Nya;	Se epele iya areya suku Yehuda, ban Gumo’ Siyon se ekataresnae parana.
Ia membangun tempat kudus-Nya setinggi langit, laksana bumi yang didasarkan-Nya untuk selama-lamanya;	E jadhiya Allah maddek Padalemmanna akantha kalenggiyanna e sowarga, epakoko akantha bume salanjangnga.
dipilih-Nya Daud, hamba-Nya, diambil-Nya dia dari antara kandang-kandang kambing domba;	Daud abdina epele, epondhut dhari dhang-kandhangnga dumba ban embi’,
dari tempat domba-domba yang menyusui didatangkan-Nya dia, untuk menggembalakan Yakub, umat-Nya, dan Israel, milik-Nya sendiri.	dhari kennengnganna pameyara’anna korbina dumbana, epangowana ommat Isra’il.
Ia menggembalakan mereka dengan ketulusan hatinya, dan menuntun mereka dengan kecakapan tangannya.	Daud meyara Isra’il bi’ ate se ehlas, mimpin ommadda talebat penterra.
Untuk pemimpin biduan. Menurut: Yedutun. Mazmur Asaf. Aku mau berseru-seru dengan nyaring kepada Allah, dengan nyaring kepada Allah, supaya Ia mendengarkan aku.	Kaangguy pamimpinna koor. Menorot: Yedutun. Jaburra Asaf. Sengko’ aera’ epakaja ka Allah; sengko’ aera’ epakaja, ban Allah meyarsa tang sowara.
Pada hari kesusahanku aku mencari Tuhan; malam-malam tanganku terulur dan tidak menjadi lesu, jiwaku enggan dihiburkan.	E dhalem karekongan sengko’ adu’a ka Pangeran; sengko’ ngangka’ tang tanang samalem benteng nyo’on ka Salerana tadha’ busenna, tape sengko’ ta’ nemmo panglepor ate,
Apabila aku mengingat Allah, maka aku mengerang, apabila aku merenung, makin lemah lesulah semangatku. Sela	Bila sengko’ enga’ ka Guste Allah sengko’ aserro, bila sengko’ ker-mekker, tang ate sajan lesso.
Engkau membuat mataku tetap terbuka; aku gelisah, sehingga tidak dapat berkata-kata.	E baja malem sengko’ epata’ngeddha tedhung bi’ Pangeran, sengko’ ngalengsang sampe’ ta’ ngenneng acaca.
Aku memikir-mikir hari-hari zaman purbakala, tahun-tahun zaman dahulu aku ingat.	Sengko’ mekkere re-are se la lebat, nga’-ngenga’e on-taon jaman lamba’.
Aku sebut-sebut pada waktu malam dalam hatiku, aku merenung, dan rohku mencari-cari:	E baja malem sengko’ ker-mekker, ban atanya e dhalem ate,
"Untuk selamanyakah Tuhan menolak dan tidak kembali bermurah hati lagi?	"Pangeran reya apa salanjangnga nolak sengko’ ban ta’ kasokan pole ka sengko’ reya?
Sudah lenyapkah untuk seterusnya kasih setia-Nya, telah berakhirkah janji itu berlaku turun-temurun?	Apa Allah la ta’ taresna ka sengko’? apa Allah ta’ neptebbi dhabuna?
Sudah lupakah Allah menaruh kasihan, atau ditutup-Nyakah rahmat-Nya karena murka-Nya?" Sela	Apa Allah la ta’ emot aparenga kabellasan? Apa Allah duka sampe’ ta’ kaagungan panganeser?"
Maka kataku: "Inilah yang menikam hatiku, bahwa tangan kanan Yang Mahatinggi berubah."	Sengko’ laju ngoca’, "Se paleng nyake’e tang ate iya areya Se Mahatenggi ta’ kobasa pole."
Aku hendak mengingat perbuatan-perbuatan TUHAN, ya, aku hendak mengingat keajaiban-keajaiban-Mu dari zaman purbakala.	Abdidalem ngemodana sadaja se elampa’agi Junandalem, GUSTE, ngemodana sadaja se ajib sareng se ane se elampa’agi Junandalem gi’ jaman dhimen.
Aku hendak menyebut-nyebut segala pekerjaan-Mu, dan merenungkan perbuatan-perbuatan-Mu.	Abdidalem mekkerana sadaja se elampa’agi Junandalem, se talebat sae, se makasambu’ ate.
Ya Allah, jalan-Mu adalah kudus! Allah manakah yang begitu besar seperti Allah kami?	Ya Allah, sadaja se elampa’agi Junandalem socce, tadha’ Allah se agung kajabana Junandalem, Guste.
Engkaulah Allah yang melakukan keajaiban; Engkau telah menyatakan kuasa-Mu di antara bangsa-bangsa.	Junandalem Allah se mabadha kaajiban, kobasana Junandalem ampon enyata’agi e antarana sa-bangsa.
Dengan lengan-Mu Engkau telah menebus umat-Mu, bani Yakub dan bani Yusuf. Sela	Kalaban kakowadannepon Junandalem, Junandalem mabebas ommadda, toronannepon Yakub sareng Yusup.
Air telah melihat Engkau, ya Allah, air telah melihat Engkau, lalu menjadi gentar, bahkan samudera raya gemetar.	Nengale Junandalem aeng daddi tako’, Guste, padha ngetter sar-dhasarra tase’.
Awan-awan mencurahkan air, awan-gemawan bergemuruh, bahkan anak-anak panah-Mu beterbangan.	Ondhem magaggar ojan, galudhuk saleng pajaggur; kelap saleng kareddhap dhari man-ka’dhimman.
Deru guntur-Mu menggelinding, kilat-kilat menerangi dunia, bumi gemetar dan bergoncang.	Galudhuk saleng pajaggur, kelap patang kareddhap, bume gundhek agaledder.
Melalui laut jalan-Mu dan lorong-Mu melalui muka air yang luas, tetapi jejak-Mu tidak kelihatan.	Junandalem alomampa lebat e omba’, ngalebadi sagara se dhalem, namong lampadda padaepon ta’ katengal.
Engkau telah menuntun umat-Mu seperti kawanan domba dengan perantaraan Musa dan Harun.	Akadi oreng ngowan Junandalem nonton ommadda, kalaban parantara’anna Mosa sareng Harun.
Untuk pemimpin biduan. Dengan permainan kecapi. Mazmur Asaf. Nyanyian. Allah terkenal di Yehuda, nama-Nya masyhur di Israel!	Kaangguy pamimpinna koor. Eerenge calempong. Jaburra Asaf. Nyanyeyan. Allah kalonta e Yehuda; asmana kasohor e Isra’il.
Di Salem sudah ada pondok-Nya, dan kediaman-Nya di Sion!	Yerusalim padalemmanna; Gumo’ Siyon kalenggiyanna.
Di sanalah dipatahkan-Nya panah yang berkilat, perisai dan pedang dan alat perang. Sela	E jadhiya pakakas perrangnga moso, pana, tameng ban peddhang padha epaancor.
Cemerlang Engkau, lebih mulia dari pada pegunungan yang ada sejak purba.	Molja onggu, Junandalem, Guste, lebbi agung dhari nong-gunong jaman lamba’.
Orang-orang yang berani telah dijarah, mereka terlelap dalam tidurnya, dan semua orang yang gagah perkasa kehilangan kekuatannya.	Reng-oreng se bangalan ampon erampase, padha tatedhung ta’ jaga pole. Rit-parjurit se gaga’ parjuga ampon elang kakowadanna sadaja.
Oleh sebab hardik-Mu, ya Allah Yakub, tertidur lelap baik pengendara maupun kuda.	Ran-jaran sareng se nompa’ padha labu terros mate e bakto ebentak Junandalem, Allahna Yakub.
Dahsyat Engkau! Siapakah yang tahan berdiri di hadapan-Mu pada saat Engkau murka?	Nako’e onggu Junandalem, GUSTE! Manabi Junandalem duka, pasera se kowat nahan?
Dari langit Engkau memperdengarkan keputusan-Mu; bumi takut dan tertegun,	Dhari langnge’ Junandalem anyata’agi potosan; bume neng-enneng katako’en,
pada waktu Allah bangkit untuk memberi penghukuman, untuk menyelamatkan semua yang tertindas di bumi. Sela	e bakto Junandalem ngadek badhi ngadili, masalamedda reng-oreng se etendhes e bume.
Sesungguhnya panas hati manusia akan menjadi syukur bagi-Mu, dan sisa panas hati itu akan Kauperikatpinggangkan.	Reng-oreng se paleng galak amolja’agi Junandalem jugan, se gi’ peggel padha ngangguy kaen karong menangka tandha sossa atena.
Bernazarlah dan bayarlah nazarmu itu kepada TUHAN, Allahmu! Biarlah semua orang yang di sekeliling-Nya menyampaikan persembahan kepada Dia yang ditakuti,	Teptebbi janjina ba’na ka GUSTE Allahna. Sa-bangsa se badha e ma’-semma’na, mara padha ngeba tor-ator ka Allah se ekatako’e oreng sadunnya.
Dia yang mematahkan semangat para pemimpin, Dia yang dahsyat bagi raja-raja di bumi.	Allah mapotong samangadda para pangobasa, to-rato padha katako’en ka Salerana.
Untuk pemimpin biduan. Menurut lagu: Jangan memusnahkan. Mazmur Asaf. Nyanyian. Kami bersyukur kepada-Mu, ya Allah, kami bersyukur, dan orang-orang yang menyerukan nama-Mu menceritakan perbuatan-perbuatan-Mu yang ajaib.	Kaangguy pamimpinna koor. Menorot nyanyeyan: Ja’ mamosna. Jaburra Asaf. Nyanyeyan. Abdidalem sadaja nyemba ka Junandalem, Guste, abdidalem asokkor ka Junandalem, sareng aberta’agi sadaja se makasambu’ ate se elampa’agi Junandalem.
"Apabila Aku menetapkan waktunya, Aku sendiri akan menghakimi dengan kebenaran.	Allah adhabu, "Mon la napa’ ka bakto se la etantowagi bi’ Sengko’, Sengko’ ahakimana epaadila.
Bumi hancur dan semua penduduknya; tetapi Akulah yang mengokohkan tiang-tiangnya." Sela	Mon bume agundhek ban mahlok saessena padha ngetter, Sengko’ se makoko ga-canggana."
Aku berkata kepada pembual-pembual: "Jangan membual." Dan kepada orang-orang fasik: "Jangan meninggikan tanduk!	Sengko’ ngoca’ ka oreng se dujan asebbal sopaja ja’ asebbal ros-terrosan.
Jangan mengangkat tandukmu tinggi-tinggi, jangan berbicara dengan bertegang leher!"	Ka oreng jahat Sengko’ ngoca’ sopaja ja’ thak-magathak tengkana. Ja’ ja-maraja cethak, otaba ja-maraja caca.
Sebab bukan dari timur atau dari barat dan bukan dari padang gurun datangnya peninggian itu,	Sabab panghakiman ta’ dhateng dhari bara’ otaba dhari temor, banne dhari dhaja otaba dhari lao’.
tetapi Allah adalah Hakim: direndahkan-Nya yang satu dan ditinggikan-Nya yang lain.	Se ahakime reya Allah dibi’, se settong epamandhap, settonganna epatenggi.
Sebab sebuah piala ada di tangan TUHAN, berisi anggur berbuih, penuh campuran bumbu; Ia menuang dari situ; sungguh, ampasnya akan dihirup dan diminum oleh semua orang fasik di bumi.	Dukana PANGERAN akantha tobung se eastane, tobung se aesse anggur se towa. Bi’ Allah essena eselen, pas kodu eenom bi’ reng-oreng jahat e bume epa sampe’ berse.
Tetapi aku hendak bersorak-sorak untuk selama-lamanya, aku hendak bermazmur bagi Allah Yakub.	Tape sengko’ paggun aberta’agi Allahna Yakub, anyanye ji-pojiyan amolja’agiya Salerana.
Segala tanduk orang-orang fasik akan dihancurkan-Nya, tetapi tanduk-tanduk orang benar akan ditinggikan.	Allah bakal mapotonga kakowadanna oreng jahat, dineng oreng se becce’ epasajana kowat.
Nyanyian pengajaran Asaf. Mengapa, ya Allah, Kaubuang kami untuk seterusnya? Mengapa menyala murka-Mu terhadap kambing domba gembalaan-Mu?	Nyanyeyan pangajaranna Asaf. Ya Allah, ponapa abdidalem ka’dhinto sareng Junandalem edinggallagiya salanjangnga? Aponapa Junandalem me’ duka terros ka ommattepon dibi’?
Ingatlah akan umat-Mu yang telah Kauperoleh pada zaman purbakala, yang Kautebus menjadi bangsa milik-Mu sendiri! Ingatlah akan gunung Sion yang Engkau diami.	Kaemodi ommattepon Junandalem se epele Junandalem dhari gi’ dhimen, bangsa se sareng Junandalem epabebas sopaja daddi kaagungannepon Junandalem. Kaemodi Gumo’ Siyon, se ebadhi kalenggiyannepon Junandalem.
Ringankanlah langkah-Mu ke tempat yang rusak terus-menerus; segala-galanya telah dimusnahkan musuh di tempat kudus.	Ngereng alomampa e kennengngan se ampon daddi jur-gujuran; sadaja se badha e Padalemmannepon Junandalem ampon epaancor sareng moso.
Lawan-lawan-Mu mengaum di tempat pertemuan-Mu dan telah mendirikan panji-panji mereka sebagai tanda.	Mosoepon Junandalem padha ra’-era’an e Padalemmannepon Junandalem, sareng masang bul-ombul kamennangan e ka’dhissa’.
Kelihatannya seperti orang mengayunkan tinggi-tinggi sebuah kapak kepada kayu-kayuan yang lebat,	Reng-oreng gapaneka akadi tokang moger kaju se nyebengngagi kapagga, mogerra ka’-bungka’an e alas.
dan sekarang ukir-ukirannya seluruhnya dipalu mereka dengan kapak dan beliung;	Sareng reng-oreng gapaneka sadajana okeran kaju epaancor ngangguy kapak sareng tokol.
mereka menyulut tempat kudus-Mu dengan api, mereka menajiskan tempat kediaman nama-Mu sampai pada tanah;	Reng-oreng gapaneka ngobbar Padalemmannepon Junandalem kantos tadha’ karena; sareng manajjis kennengngannepon oreng abakte ka Junandalem.
mereka berkata dalam hatinya: "Baiklah kita menindas mereka semuanya!" Mereka membakar segala tempat pertemuan Allah di negeri.	Reng-oreng gapaneka amaksot makala’a abdidalem sadaja, kennengngannepon kabakteyan e nagara ka’dhinto eobbara, epatadha’a.
Tanda-tanda kami tidak kami lihat, tidak ada lagi nabi, dan tidak ada di antara kami yang mengetahui berapa lama lagi.	Bi-nabbi sareng dha-tandha se ajib ampon ta’ ngaton pole, tadha’ oreng settonga se oneng kantos bilaepon kabadha’an teptebba saka’dhinto.
Berapa lama lagi, ya Allah, lawan itu mencela, dan musuh menista nama-Mu terus-menerus?	Kantos bilaepon, Guste, Junandalem se eya’-seya’a moso? Ponapa salanjangnga asmaepon Junandalem eya-seya reng-oreng gapaneka?
Mengapa Engkau menarik kembali tangan-Mu, menaruh tangan kanan-Mu di dada?	Aponapa Junandalem me’ ta’ kasokan nolong abdidalem pole? Aponapa abdidalem sadaja me’ ta’ eparduli pole?
Namun Engkau, ya Allah adalah Rajaku dari zaman purbakala, yang melakukan penyelamatan di atas bumi.	Ya Allah, ngabidi parmola’anna Junandalem rato abdidalem, Junandalem panyalamet abdidalem sadaja.
Engkaulah yang membelah laut dengan kekuatan-Mu, yang memecahkan kepala ular-ular naga di atas muka air.	Kalaban kakowadan se talebat rajana Junandalem nyeba’ tase’, mabella cethakkepon ga-naga tase’.
Engkaulah yang meremukkan kepala-kepala Lewiatan, yang memberikannya menjadi makanan penghuni-penghuni padang belantara.	Junandalem malejjar thak-cethakkepon Lewiyatan, ban Lewiyatan gapaneka ebadhi kakanna essena ra-ara.
Engkaulah yang membelah mata air dan sungai; Engkaulah yang mengeringkan sungai-sungai yang selalu mengalir.	Junandalem magili somber sareng songay; songay se raja epakerreng tadha’ aengnga.
Punya-Mulah siang, punya-Mulah juga malam. Engkaulah yang menaruh benda penerang dan matahari.	Junandalem se nyepta’agi seyang sareng malem, se nantowagi kennengngannepon are sareng bulan.
Engkaulah yang menetapkan segala batas bumi, musim kemarau dan musim hujan Engkaulah yang membuat-Nya.	Junandalem neptebbagi tes-batessepon bume, abadhi mosem nemor sareng nembara’.
Ingatlah ini: musuh mencela, ya TUHAN, dan bangsa yang bebal itu menista nama-Mu.	Namong kaemodi, GUSTE, kadi ponapa moso ya-nyeya Junandalem, bangsa se ta’ oneng ka Junandalem ca’-ngoca’e Junandalem.
Janganlah berikan nyawa merpati-Mu kepada binatang liar! Janganlah lupakan terus-menerus nyawa orang-orang-Mu yang tertindas!	Ja’ passra’agi ka moso se kejjem, ommattepon Junandalem se ta’ bisa apa-ponapa ka’dhinto. Ja’ kantos Junandalem ta’ ngemodi kabadha’annepon ommadda se palang.
Pandanglah kepada perjanjian, sebab tempat-tempat gelap di bumi penuh sarang-sarang kekerasan.	Kaemodi parjanjiyan se ebadhi Junandalem sareng abdidalem sadaja, sabab oreng ajalannagi kakerrasan e man-ka’dhimman e nagara ka’dhinto.
Janganlah biarkan orang yang terinjak-injak kembali dengan kena noda. Biarlah orang sengsara dan orang miskin memuji-muji nama-Mu.	Ja’ kantos oreng se tatendhes epamalo, moga oreng mesken sareng nyangsara amolja’agi Junandalem salanjangnga.
Bangunlah, ya Allah, lakukanlah perjuangan-Mu! Ingatlah akan cela kepada-Mu dari pihak orang bebal sepanjang hari.	Ngereng ngadek, Guste, billai parkaraepon Junandalem! Sabab saare benteng Junandalem eya-seya sareng reng-oreng se ta’ parcaja ka Junandalem.
Janganlah lupa suara lawan-Mu, deru orang-orang yang bangkit melawan Engkau, yang terus-menerus makin keras.	Kaemodi paera’na so-mosoepon Junandalem, se reng-cerrengan ce’ rammena sajan abit sajan ce’ kajana.
Mazmur Asaf. Sesungguhnya Allah itu baik bagi mereka yang tulus hatinya, bagi mereka yang bersih hatinya.	Jaburra Asaf. Allah reya sae onggu ka ommadda, ka oreng se morne atena.
Tetapi aku, sedikit lagi maka kakiku terpeleset, nyaris aku tergelincir.	Tape sengko’ la mangmang, tang kaparcaja’an para’ elanga,
Sebab aku cemburu kepada pembual-pembual, kalau aku melihat kemujuran orang-orang fasik.	sabab sengko’ arassa tamburuwan ka oreng se angga’, e bakto sengko’ nangale oreng jahat se nyaman odhi’na.
Sebab kesakitan tidak ada pada mereka, sehat dan gemuk tubuh mereka;	Sabab reng-oreng jareya ta’ nanggung sake’ pa-apa, badanna baras ban kowat.
mereka tidak mengalami kesusahan manusia, dan mereka tidak kena tulah seperti orang lain.	Reng-oreng jareya ta’ nanggung sossa, ta’ palang akantha oreng laenna.
Sebab itu mereka berkalungkan kecongkakan dan berpakaian kekerasan.	Polana reng-oreng jareya sombong pannengnga, ban ajalannagi kakerrasan salanjangnga.
Karena kegemukan, kesalahan mereka menyolok, hati mereka meluap-luap dengan sangkaan.	Dhari atena ngalowa kajahadan; kabbi padha repot ban maksod se jahat.
Mereka menyindir dan mengata-ngatai dengan jahatnya, hal pemerasan dibicarakan mereka dengan tinggi hati.	Oreng laen ekala’-gella’ ban eca’-koca’e, eara ekaneyaja’a, gathagga ta’ jama’.
Mereka membuka mulut melawan langit, dan lidah mereka membual di bumi.	Allah se jumenneng e sowarga eca’-koca’e, ban asebbal ka reng-oreng e bume,
Sebab itu orang-orang berbalik kepada mereka, mendapatkan mereka seperti air yang berlimpah-limpah.	sampe’ ommadda Allah abalik noro’ reng-oreng jareya, ban parcaja ka cacana.
Dan mereka berkata: "Bagaimana Allah tahu hal itu, adakah pengetahuan pada Yang Mahatinggi?"	Ca’na reng-oreng jareya, "Allah ta’ kera ngagali, Se Mahatenggi ta’ kera ngarte."
Sesungguhnya, itulah orang-orang fasik: mereka menambah harta benda dan senang selamanya!	Kantha jareya kabadha’anna oreng jahat; odhi’na nyaman, dhi’-andhi’na sajan atamba.
Sia-sia sama sekali aku mempertahankan hati yang bersih, dan membasuh tanganku, tanda tak bersalah.	Parcoma sengko’ ajaga sopaja tang ate berse; tadha’ gunana sengko’ ajauwi dusa.
Namun sepanjang hari aku kena tulah, dan kena hukum setiap pagi.	Sabab saare benteng sengko’ terros palang; sabban laggu sengko’ eseksa.
Seandainya aku berkata: "Aku mau berkata-kata seperti itu," maka sesungguhnya aku telah berkhianat kepada angkatan anak-anakmu.	Ja’ sakenga abdidalem ngoca’ kadi gapaneka, abdidalem akiyanadi angkadanna tra-pottraepon Junandalem.
Tetapi ketika aku bermaksud untuk mengetahuinya, hal itu menjadi kesulitan di mataku,	Namong e bakto abdidalem ngoddi terro ngarteya, parkara gapaneka ka abdidalem ce’ malaradda rassana.
sampai aku masuk ke dalam tempat kudus Allah, dan memperhatikan kesudahan mereka.	Dhi-budhina abdidalem maso’ ka Padalemmannepon Junandalem, abdidalem laju ngarte aherrepon odhi’na oreng jahat.
Sesungguhnya di tempat-tempat licin Kautaruh mereka, Kaujatuhkan mereka sehingga hancur.	Sareng Junandalem reng-oreng gapaneka esaba’ e lorong se lecen, ediggal kantos padha labu laju mate.
Betapa binasa mereka dalam sekejap mata, lenyap, habis oleh karena kedahsyatan!	E dhalem saparngedep padha ancor sadajana, aherrepon odhi’na nako’e parana.
Seperti mimpi pada waktu terbangun, ya Tuhan, pada waktu terjaga, rupa mereka Kaupandang hina.	Reng-oreng gapaneka akadi mempe se elang e baja laggu; e bakto Junandalem ngadek, GUSTE, reng-oreng gapaneka ampon tadha’.
Ketika hatiku merasa pahit dan buah pinggangku menusuk-nusuk rasanya,	E bakto abdidalem arassa caremmet sareng ate arassa peggel,
aku dungu dan tidak mengerti, seperti hewan aku di dekat-Mu.	abdidalem budhu sareng ta’ ngarte, akadi keban e ajunannepon Junandalem.
Tetapi aku tetap di dekat-Mu; Engkau memegang tangan kananku.	Sanajjan saka’dhinto, abdidalem teptep badha e seddi’annepon Junandalem, Junandalem ngastane tanang abdidalem.
Dengan nasihat-Mu Engkau menuntun aku, dan kemudian Engkau mengangkat aku ke dalam kemuliaan.	Junandalem nonton abdidalem sareng babala’an, ban pagi’ narema’a abdidalem kalaban kahormadan.
Siapa gerangan ada padaku di sorga selain Engkau? Selain Engkau tidak ada yang kuingini di bumi.	Pasera se ekaandhi’ abdidalem e sowarga kajabana Junandalem? Salaenna Junandalem tadha’ pole se ekaterrowe abdidalem e bume.
Sekalipun dagingku dan hatiku habis lenyap, gunung batuku dan bagianku tetaplah Allah selama-lamanya.	Sanajjan sokma sareng badan abdidalem ta’ kowat, Junandalem kakowadan abdidalem, Guste Allah; namong Junandalem se ekaandhi’ abdidalem salanjangnga.
Sebab sesungguhnya, siapa yang jauh dari pada-Mu akan binasa; Kaubinasakan semua orang, yang berzinah dengan meninggalkan Engkau.	Oreng se adinggallagi Junandalem tanto calaka’, se ta’ esto ka Junandalem tanto sareng Junandalem epamosna.
Tetapi aku, aku suka dekat pada Allah; aku menaruh tempat perlindunganku pada Tuhan ALLAH, supaya dapat menceritakan segala pekerjaan-Nya.	Tape monggu ka sengko’ bagus mon semma’ ban Allah, Guste ALLAH Se Mahatenggi bi’ sengko’ egabay tang pangaoban, sopaja sengko’ bisa’a aberta’agi sabarang se elampa’agi Salerana.
Dari Salomo. Ya Allah, berikanlah hukum-Mu kepada raja dan keadilan-Mu kepada putera raja!	Dhari Sulaiman. Ya Allah, ajarragi okomannepon Junandalem ka rato, parengngagi kaadilannepon Junandalem ka pottrana rato.
Kiranya ia mengadili umat-Mu dengan keadilan dan orang-orang-Mu yang tertindas dengan hukum!	Moga rato ahakime ommattepon Junandalem menorot hokom, sareng adil ka reng-oreng se tatendhes.
Kiranya gunung-gunung membawa damai sejahtera bagi bangsa, dan bukit-bukit membawa kebenaran!	Moga nagara abdidalem eparengngana ma’mor, ra’yattepon ngarassa’agi kaadilan.
Kiranya ia memberi keadilan kepada orang-orang yang tertindas dari bangsa itu, menolong orang-orang miskin, tetapi meremukkan pemeras-pemeras!	Moga rato abilla’ana ha’epon ra’yat kene’, nolong reng-oreng mesken sareng matadha’ reng-oreng se nganeyaja ra’yat.
Kiranya lanjut umurnya selama ada matahari, dan selama ada bulan, turun-temurun!	Moga salerana teptebba kobasa kantos ron-temoron saabidda gi’ badha are sareng bulan.
Kiranya ia seperti hujan yang turun ke atas padang rumput, seperti dirus hujan yang menggenangi bumi!	Moga rato padha’a sareng ojan se gaggar e gal-teggal, akadi ojan derres se mabacca tana.
Kiranya keadilan berkembang dalam zamannya dan damai sejahtera berlimpah, sampai tidak ada lagi bulan!	Moga kaadilan atamba’a sae e jaman pamarenta’anna, nagara ma’mor saabidda bulan gi’ nyonar.
Kiranya ia memerintah dari laut ke laut, dari sungai Efrat sampai ke ujung bumi!	Moga karaja’annepon atamba’a lebar dhari tase’ se settong ka tase’ settongnga, malebar dhari temor kantos ka bara’.
Kiranya penghuni padang belantara berlutut di depannya, dan musuh-musuhnya menjilat debu;	Pandhudhu’epon sagara beddhi badhi asojuda ka salerana, moso asojud e adha’na padana.
kiranya raja-raja dari Tarsis dan pulau-pulau membawa persembahan-persembahan; kiranya raja-raja dari Syeba dan Seba menyampaikan upeti!	To-rato Tarsis sareng lo-polo badhi abakta’a tor-ator ka salerana. To-rato Arab sareng Etiopia rabu abakta pesse opet.
Kiranya semua raja sujud menyembah kepadanya, dan segala bangsa menjadi hambanya!	To-rato badhi asojuda sadaja e ajunanna, sa-bangsa sadajana badhi daddiya dunorra.
Sebab ia akan melepaskan orang miskin yang berteriak minta tolong, orang yang tertindas, dan orang yang tidak punya penolong;	Sabab salerana nolong oreng se tatendhes odhi’na se ta’ gadhuwan kakowadan ta’ bisa apa-ponapa, ban oreng mesken aserro nyo’on tolong ka salerana.
ia akan sayang kepada orang lemah dan orang miskin, ia akan menyelamatkan nyawa orang miskin.	Rato gapaneka bellas ka oreng mesken sareng ra’yat biyasa, sareng masalamet reng-oreng se malarat odhi’na.
Ia akan menebus nyawa mereka dari penindasan dan kekerasan, darah mereka mahal di matanya.	Salerana mabebas reng-oreng gapaneka dhari panendhessan sareng kakerrasan, sabab odhi’na reng-oreng gapaneka eanggep talebat raja argana.
Hiduplah ia! Kiranya dipersembahkan kepadanya emas Syeba! Kiranya ia didoakan senantiasa, dan diberkati sepanjang hari!	Lanjang omor, rato! Moga salerana eatorana emmas dhari nagara Arab. Moga salerana enyo’onnagi ka Pangeran ros-terrosan, sareng eberkadi Pangeran salanjangnga.
Biarlah tanaman gandum berlimpah-limpah di negeri, bergelombang di puncak pegunungan; biarlah buahnya mekar bagaikan Libanon, bulir-bulirnya berkembang bagaikan rumput di bumi.	Moga bannya’ a hasella gandum saantero nagara, mo’-gumo’epon possa’ sareng hasel bume. Moga tanaepon landhu akadi Pagunongan Libanon, pandhudhu’epon kotthana atamba akadi rebba e talon.
Biarlah namanya tetap selama-lamanya, kiranya namanya semakin dikenal selama ada matahari. Kiranya segala bangsa saling memberkati dengan namanya, dan menyebut dia berbahagia.	Moga asmaepon rato ekaemodi salanjangnga, moga asmaepon atamba’a kasohor saabittepon gi’ badha are se nyonar. Moga sa-bangsa nyo’ona berkattepon Junandalem akadi se etarema salerana, sareng nyo’on sopaja rato eparengngana senneng salanjangnga.
Terpujilah TUHAN, Allah Israel, yang melakukan perbuatan yang ajaib seorang diri!	Molja’agi PANGERAN, Allahna Isra’il! Pera’ Salerana se alampa’agi sabarang se makasambu’ ate.
Dan terpujilah kiranya nama-Nya yang mulia selama-lamanya, dan kiranya kemuliaan-Nya memenuhi seluruh bumi. Amin, ya amin.	Molja’agi asmana se agung salanjangnga; moga kamolja’anna mossa’e bume ban saessena! Amin! Amin!
Sekianlah doa-doa Daud bin Isai.	Gan jadhiya du’ana Daud, pottrana Isay.
Pada-Mu, ya TUHAN, aku berlindung, janganlah sekali-kali aku mendapat malu.	Abdidalem nyare pangaoban ka Junandalem, GUSTE, ja’ kantos abdidalem epamalo.
Lepaskanlah aku dan luputkanlah aku oleh karena keadilan-Mu, sendengkanlah telinga-Mu kepadaku dan selamatkanlah aku!	Bebassagi abdidalem, sabab Junandalem adil, peyarsa’agi abdidalem sareng pasalamettagi.
