Berfirmanlah TUHAN kepada Musa:	Dhabuna PANGERAN ka Mosa,
Tangan seorangpun tidak boleh merabanya, sebab pastilah ia dilempari dengan batu atau dipanahi sampai mati; baik binatang baik manusia, ia tidak akan dibiarkan hidup. Hanya apabila sangkakala berbunyi panjang, barulah mereka boleh mendaki gunung itu."	oreng jareya kodu egarujuk ban bato, otaba epana, ban ta’ olle esedding sapa’a bai. Atoran reya kodu etoro’ bi’ manossa, bariya keya bi’ keban; se nedda’ bates gella’ kodu eokom mate. Tape mon badha monyena tarompet se lanjang, buru reng-oreng jareya olle ongga ka gunong jareya."
Lalu turunlah Musa dari gunung mendapatkan bangsa itu; disuruhnyalah bangsa itu menguduskan diri dan merekapun mencuci pakaiannya.	Saellana jareya Mosa toron dhari gunong pas makon reng-oreng Isra’il sopaja ayap-siyap ajalannagiya kabakteyan. Dhabuna Mosa, "Sadhumalem ba’na kodu la siyap ban sabellunna jareya lalake’an ta’ olle apolong tedhung ban binena." Bangsa Isra’il pas molae ayap-siyap sarta padha nyassa kalambina.
Dan terjadilah pada hari ketiga, pada waktu terbit fajar, ada guruh dan kilat dan awan padat di atas gunung dan bunyi sangkakala yang sangat keras, sehingga gemetarlah seluruh bangsa yang ada di perkemahan.	E are se kapeng tello, teppa’ gu-laggu, pas badha kelap ban galudhuk. E attassa gunong badha ondhem se kandel, reng-oreng ngedhing monyena tarompet ce’ kajana. Sampe’ reng-oreng e parkemahan jareya ngetter katako’en.
Lalu Musa membawa bangsa itu keluar dari perkemahan untuk menjumpai Allah dan berdirilah mereka pada kaki gunung.	Mosa abakta reng-oreng Isra’il kalowar dhari parkemahan epatemmowa ban Allah, kabbi padha manjeng e babana gunong jareya.
Gunung Sinai ditutupi seluruhnya dengan asap, karena TUHAN turun ke atasnya dalam api; asapnya membubung seperti asap dari dapur, dan seluruh gunung itu gemetar sangat.	Gunong Sinay katotoban okos sabab PANGERAN rabu aropa apoy. Kokos jareya ngebbul padha ban kokossa kennengnganna pangobbaran, reng-oreng padha ngetter dhari tako’na.
Bunyi sangkakala kian lama kian keras. Berbicaralah Musa, lalu Allah menjawabnya dalam guruh.	Monyena tarompet sajan kaja. Mosa tor-mator ka Allah ban Allah nyaodi dhari dhalem galudhuk.
Lalu turunlah TUHAN ke atas gunung Sinai, ke atas puncak gunung itu, maka TUHAN memanggil Musa ke puncak gunung itu, dan naiklah Musa ke atas.	PANGERAN pas toron ka attassa konco’na Gunong Sinay, nembali Mosa, epakon ongga ka konco’na gunong jareya. Daddi Mosa pas ongga,
Kemudian TUHAN berfirman kepada Musa: "Turunlah, peringatkanlah kepada bangsa itu, supaya mereka jangan menembus mendapatkan TUHAN hendak melihat-lihat; sebab tentulah banyak dari mereka akan binasa.	dhabuna PANGERAN, "Kassa’ ba’na toron paenga’ reng-oreng rowa, ja’ bagi ngalebadi bates polana terro nangaleyana Sengko’. Mon larangan reya ta’ etoro’, reng-oreng jareya tanto bannya’ se mate.
Juga para imam yang datang mendekat kepada TUHAN haruslah menguduskan dirinya, supaya TUHAN jangan melanda mereka."	Mam-imam se terro nyemma’a ka Sengko’ kodu nyocce’e aba’ gallu; mon enja’, bi’ Sengko’ eokoma."
Lalu berkatalah Musa kepada TUHAN: "Tidak akan mungkin bangsa itu mendaki gunung Sinai ini, sebab Engkau sendiri telah memperingatkan kepada kami, demikian: Pasanglah batas sekeliling gunung itu dan nyatakanlah itu kudus."	Atorra Mosa ka PANGERAN, "Reng-oreng ka’dhinto ta’ kera ongga, sabab Junandalem ampon adhabu ja’ sadajana ommat se badha e ka’dhinto kodu nganggep gunong ka’dhinto kennengngan se socce, daddi kodu eparenge bates e sakalenglengnga."
Lalu TUHAN berfirman kepadanya: "Pergilah, turunlah, kemudian naiklah pula, engkau beserta Harun; tetapi para imam dan rakyat tidak boleh menembus untuk mendaki menghadap TUHAN, supaya mereka jangan dilanda-Nya."	Dhabuna PANGERAN, "Kassa’ la toron, pas abali dha’ enna’ abareng ban Harun. Tape mam-imam ban ra’yat ta’ olle ngalebadi bates polana nyemma’a ka Sengko’. Mon maksa, bi’ Sengko’ eokoma."
Lalu turunlah Musa mendapatkan bangsa itu dan menyatakan hal itu kepada mereka.	Mosa pas toron manggi’i bangsana, manapa’ dhabuna PANGERAN ka reng-oreng jareya.
Kedengaranlah kepada Yitro, imam di Midian, mertua Musa, segala yang dilakukan Allah kepada Musa dan kepada Israel, umat-Nya, yakni bahwa TUHAN telah membawa orang Israel keluar dari Mesir.	Yitro, mattowana Mosa, imam e Midian rowa, meyarsa sabarang se la elampa’agi Allah kaangguy Mosa ban bangsa Isra’il e bakto ngaterragi bangsa jareya kalowar dhari Messer.
Lalu Yitro, mertua Musa, membawa serta Zipora, isteri Musa--yang dahulu disuruh Musa pulang--	Daddi Yitro laju meyos ka Mosa, abakta Zipora rajina Mosa se edina e Midian,
dan kedua anak laki-laki Zipora; yang seorang bernama Gersom, sebab kata Musa: "Aku telah menjadi seorang pendatang di negeri asing,"	ban pottra lalake’na se kadhuwa, iya areya Gersom ban Eliyezer. Pottra se nomer settong jareya enyamae Gersom polana Mosa adhabu, "Sengko’ reya e dhinna’ oreng manca";
dan yang seorang lagi bernama Eliezer, sebab katanya: "Allah bapaku adalah penolongku dan telah menyelamatkan aku dari pedang Firaun."	dineng se nomer dhuwa’na enyamae Eliyezer polana Mosa adhabu, "Allah se esemba tang bangatowa la nolong ban masalamet sengko’ sampe’ sengko’ ta’ epate’e bi’ rato Messer."
Ketika Yitro, mertua Musa, beserta anak-anak dan isteri Musa sampai kepadanya di padang gurun, tempat ia berkemah dekat gunung Allah,	Yitro ban rajina Mosa sarta pottrana se kadhuwa napa’ ka ra-ara kennengnganna Mosa akemah e seddi’anna gunong socce.
disuruhnyalah mengatakan kepada Musa: "Aku, mertuamu Yitro, datang kepadamu membawa isterimu beserta kedua anaknya."	Mosa eparenge kabar ja’ reng-oreng jareya dhateng,
Lalu keluarlah Musa menyongsong mertuanya itu, sujudlah ia kepadanya dan menciumnya; mereka menanyakan keselamatan masing-masing, lalu masuk ke dalam kemah.	daddi laju entar ngamba’. Mosa asojud e adha’anna Yitro ban nyeyom mattowana jareya. Reng-oreng jareya kabbi padha saleng atanya parkara kabadha’anna bang-sebang, saellana jareya laju maso’ ka dhalem kemahna Mosa.
Sesudah itu Musa menceritakan kepada mertuanya segala yang dilakukan TUHAN kepada Firaun dan kepada orang Mesir karena Israel dan segala kesusahan yang mereka alami di jalan dan bagaimana TUHAN menyelamatkan mereka.	Mosa notorragi ka mattowana sabarang se elampa’agi PANGERAN ka rato ban bangsa Messer se terro masalamedda oreng Isra’il. Mosa notorragi keya sakabbinna kasossa’an se etanggung bangsa Isra’il e dhalem parjalanan, ban baramma PANGERAN masalamet bangsa jareya.
Bersukacitalah Yitro tentang segala kebaikan, yang dilakukan TUHAN kepada orang Israel, bahwa Ia telah menyelamatkan mereka dari tangan orang Mesir.	E bakto meyarsa jareya kabbi, Yitro arassa perak,
Lalu kata Yitro: "Terpujilah TUHAN, yang telah menyelamatkan kamu dari tangan orang Mesir dan dari tangan Firaun.	laju adhabu, "Molja’agi PANGERAN se masalamet ba’na dhari tanangnga rato ban bangsa Messer! Molja’agi PANGERAN se mabebas bangsa Isra’il dhari odhi’na se ekadunor oreng!
Sekarang aku tahu, bahwa TUHAN lebih besar dari segala allah; sebab Ia telah menyelamatkan bangsa ini dari tangan orang Mesir, karena memang orang-orang ini telah bertindak angkuh terhadap mereka."	Sateya sengko’ tao ja’ PANGERAN lebbi raja dhari lah-illah laenna, sabab PANGERAN la masalamet ommat Isra’il dhari tanangnga oreng Messer se talebat ya-nyeya ka oreng Isra’il."
Dan Yitro, mertua Musa, mempersembahkan korban bakaran dan beberapa korban sembelihan bagi Allah; lalu Harun dan semua tua-tua Israel datang untuk makan bersama-sama dengan mertua Musa di hadapan Allah.	Saellana jareya Yitro abakta kurban obbaran ban kurban sambelliyan se eatorragi ka Allah. Harun ban pin-pamimpinna bangsa Isra’il se laenna padha meyos ka jadhiya ban adha’ar abareng ban Yitro menangka kabakteyan ka Allah.
Keesokan harinya duduklah Musa mengadili di antara bangsa itu; dan bangsa itu berdiri di depan Musa, dari pagi sampai petang.	Kalagguwanna Mosa ngadili reng-oreng Isra’il se padha atokar. Reng-oreng jareya manjeng e adha’anna Mosa dhari gu-laggu sampe’ malem.
Ketika mertua Musa melihat segala yang dilakukannya kepada bangsa itu, berkatalah ia: "Apakah ini yang kaulakukan kepada bangsa itu? Mengapakah engkau seorang diri saja yang duduk, sedang seluruh bangsa itu berdiri di depanmu dari pagi sampai petang?"	E bakto Yitro ngoladi sabarang se kodu elampa’agi Mosa jareya, laju mareksane, "Epabaramma’a bi’ ba’na reng-oreng jareya? Arapa bi’ ba’na me’ elakone ekadibi’i, sampe’ reng-oreng reya kodu manjeng e jadhiya dhari gi’ laggu sampe’ malem pera’ menta’a babala’an?"
Kata Musa kepada mertuanya itu: "Sebab bangsa ini datang kepadaku untuk menanyakan petunjuk Allah.	Dhabuna Mosa, "Reng-oreng paneka nyabis ka kaula terro onenga ponapa se daddi kasokanna Allah.
Apabila ada perkara di antara mereka, maka mereka datang kepadaku dan aku mengadili antara yang seorang dan yang lain; lagipula aku memberitahukan kepada mereka ketetapan-ketetapan dan keputusan-keputusan Allah."	Manabi badha se atokar, reng-oreng paneka ngadhep ka kaula, nyo’on potose parkarana sareng nantowagi pasera se lerres pasera se sala, sareng kaula reng-oreng paneka laju eparenge oneng kon-papakonna sareng kom-hokomma Allah."
Tetapi mertua Musa menjawabnya: "Tidak baik seperti yang kaulakukan itu.	Dhabuna Yitro, "Jareya ta’ bagus.
Engkau akan menjadi sangat lelah, baik engkau baik bangsa yang beserta engkau ini; sebab pekerjaan ini terlalu berat bagimu, takkan sanggup engkau melakukannya seorang diri saja.	Ba’na lesso, reng-oreng jareya lesso keya. Lalakon jareya berra’ gallu mon pera’ elakone oreng kasorang.
Jadi sekarang dengarkanlah perkataanku, aku akan memberi nasihat kepadamu dan Allah akan menyertai engkau. Adapun engkau, wakililah bangsa itu di hadapan Allah dan kauhadapkanlah perkara-perkara mereka kepada Allah.	Mara bi’ sengko’ ba’na ebala’ana, ban Allah tanto apareng partolongan ka ba’na. Pajat teppa’ mon ba’na abakkele bangsa reya e ajunanna Allah ban ngeba orosanna ka ajunanna.
Kemudian haruslah engkau mengajarkan kepada mereka ketetapan-ketetapan dan keputusan-keputusan, dan memberitahukan kepada mereka jalan yang harus dijalani, dan pekerjaan yang harus dilakukan.	Ba’na kodu ngajarragi ka bangsa jareya kon-papakonna Allah ban nerrangngagi carana odhi’ se bagus ban pa-apa se kodu ejalannagi reng-oreng jareya.
Di samping itu kaucarilah dari seluruh bangsa itu orang-orang yang cakap dan takut akan Allah, orang-orang yang dapat dipercaya, dan yang benci kepada pengejaran suap; tempatkanlah mereka di antara bangsa itu menjadi pemimpin seribu orang, pemimpin seratus orang, pemimpin lima puluh orang dan pemimpin sepuluh orang.	Tape salaenna jareya ba’na kodu mele lalake’an se bicaksana, soro ngapalae oreng saebu, saratos, saeket, ban sapolo oreng. Se epele jareya kodu oreng se tako’ ban ta’at ka Allah, ekenneng parcaja, ban ta’ endha’ narema go’-sogo’.
Dan sewaktu-waktu mereka harus mengadili di antara bangsa; maka segala perkara yang besar haruslah dihadapkan mereka kepadamu, tetapi segala perkara yang kecil diadili mereka sendiri; dengan demikian mereka meringankan pekerjaanmu, dan mereka bersama-sama dengan engkau turut menanggungnya.	Reng-oreng jareya padaddi hakimma bangsa reya, e dhalem kalompo’na bang-sebang. Lalakon jareya kodu ejalannagi pateptep. Ra-parkara se raja olle giba ka ba’na, tape parkara se ne’-kene’ ekenneng pamare dibi’. Jareya madhammang ka lakona ba’na sabab reng-oreng jareya noro’ nanggung lakona ba’na.
Jika engkau berbuat demikian dan Allah memerintahkan hal itu kepadamu, maka engkau akan sanggup menahannya, dan seluruh bangsa ini akan pulang dengan puas senang ke tempatnya."	Mon ba’na ajalannagi kantha jareya, ban parkara akantha se epakonnagi Allah ka ba’na, ba’na ta’ kera kalessowen, ban reng-oreng padha ngenneng mole bi’ ate se legga kabbi lantaran parkarana lekkas epamare."
Musa mendengarkan perkataan mertuanya itu dan dilakukannyalah segala yang dikatakannya.	Mosa atoro’ ka babala’anna Yitro,
Dari seluruh orang Israel Musa memilih orang-orang cakap dan mengangkat mereka menjadi kepala atas bangsa itu, menjadi pemimpin seribu orang, pemimpin seratus orang, pemimpin lima puluh orang dan pemimpin sepuluh orang.	laju mele reng-oreng se bicaksana e antarana oreng Isra’il, se epadaddi pamimpinna oreng saebu, saratos, saeket ban sapolo oreng.
Mereka ini mengadili di antara bangsa itu sewaktu-waktu; perkara-perkara yang sukar dihadapkan mereka kepada Musa, tetapi perkara-perkara yang kecil diadili mereka sendiri.	Reng-oreng jareya ajalannagi lalakonna, daddi hakimma bangsa Isra’il. Ra-parkara se raja egiba ka Mosa, dineng parkara se ne’-kene’ epamare dibi’.
Kemudian Musa membiarkan mertuanya itu pergi dan ia pulang ke negerinya.	Saellana jareya Yitro amet ka Mosa, terros gubar ka nagarana.
Kemudian berangkatlah segenap jemaah Israel dari padang gurun Sin, berjalan dari tempat persinggahan ke tempat persinggahan, sesuai dengan titah TUHAN, lalu berkemahlah mereka di Rafidim, tetapi di sana tidak ada air untuk diminum bangsa itu.	Ommat Isra’il pas mangkat dhari ra-ara Sin, le-ngalle dhari kennengngan se settong ka settonganna, menorot petoduna PANGERAN. Sampe’ napa’ ka Rafidim, pas akemah e jadhiya, tape e jadhiya tadha’ aengnga se ekennenga enom.
Jadi mulailah mereka itu bertengkar dengan Musa, kata mereka: "Berikanlah air kepada kami, supaya kami dapat minum." Tetapi Musa berkata kepada mereka: "Mengapakah kamu bertengkar dengan aku? Mengapakah kamu mencobai TUHAN?"	Reng-oreng jareya ango’ngo’an pole ka Mosa, oca’na, "Tore parenge aeng, kaula padha ngenoma." Dhabuna Mosa, "Ba’na me’ ango’ngo’an ka sengko’? Ba’na me’ ba’-nyoba’ PANGERAN?"
Hauslah bangsa itu akan air di sana; bersungut-sungutlah bangsa itu kepada Musa dan berkata: "Mengapa pula engkau memimpin kami keluar dari Mesir, untuk membunuh kami, anak-anak kami dan ternak kami dengan kehausan?"	Tape reng-oreng jareya ce’ pelka’na, daddi terros ango’ngo’an ka Mosa. Oca’na, "Aponapa kaula bi’ sampeyan me’ egiba ondur dhari Messer? Kaula ban na’-ana’, dumba ban sape kaula, epamateya kapelka’an cara paneka?"
Lalu berseru-serulah Musa kepada TUHAN, katanya: "Apakah yang akan kulakukan kepada bangsa ini? Sebentar lagi mereka akan melempari aku dengan batu!"	Mosa pas aserro ka PANGERAN, dhabuna, "Epakadiya ponapa bangsa ka’dhinto sareng abdidalem, Guste? Ka’dhissa’ padha agarujuga abdidalem, tanto abdidalem mate."
Berfirmanlah TUHAN kepada Musa: "Berjalanlah di depan bangsa itu dan bawalah beserta engkau beberapa orang dari antara para tua-tua Israel; bawalah juga di tanganmu tongkatmu yang kaupakai memukul sungai Nil dan pergilah.	Dhabuna PANGERAN ka Mosa, "Kassa’ ajak sabagiyan dhari para pamimpinna bangsa Isra’il; pas kabareng ajalan e adha’anna bangsa Isra’il laenna. Tongkedda ba’na se epokollagi ka Songay Nil rowa giba keya.
Maka Aku akan berdiri di sana di depanmu di atas gunung batu di Horeb; haruslah kaupukul gunung batu itu dan dari dalamnya akan keluar air, sehingga bangsa itu dapat minum." Demikianlah diperbuat Musa di depan mata tua-tua Israel.	Sengko’ manjengnga e adha’anna ba’na e attassa bato se raja e Gunong Sinay. Pokollagi tongkedda jareya ka gunong jareya, bato jareya tanto pas kalowar aeng, se ekenneng enom bangsa Isra’il." Mosa alampa’agi dhabuna PANGERAN jareya e adha’anna para pamimpinna ommat Isra’il.
Dinamailah tempat itu Masa dan Meriba, oleh karena orang Israel telah bertengkar dan oleh karena mereka telah mencobai TUHAN dengan mengatakan: "Adakah TUHAN di tengah-tengah kita atau tidak?"	Kennengngan jareya enyamae Masa ban Meriba sabab oreng Isra’il padha ango’ngo’an ban ba’-nyoba’ PANGERAN e bakto padha atanya, "PANGERAN ba’ ongguwana asarengnge sengko’ ban tang bangsa reya?"
Lalu datanglah orang Amalek dan berperang melawan orang Israel di Rafidim.	Saellana jareya pas dhateng oreng Amalek nyerrang oreng Isra’il e Rafidim.
Musa berkata kepada Yosua: "Pilihlah orang-orang bagi kita, lalu keluarlah berperang melawan orang Amalek, besok aku akan berdiri di puncak bukit itu dengan memegang tongkat Allah di tanganku."	Dhabuna Mosa ka Yusak, "Kassa’ mele oreng se epalabana ka oreng Amalek. Lagguna sengko’ manjengnga e konco’na gunong sambi neggu’a tongket se bi’ PANGERAN epakon giba ka sengko’ rowa."
Lalu Yosua melakukan seperti yang dikatakan Musa kepadanya dan berperang melawan orang Amalek; tetapi Musa, Harun dan Hur telah naik ke puncak bukit.	Yusak laju mele oreng Isra’il, akantha se edhabuwagi Mosa jareya, pas mangkat aperrang ban oreng Amalek. Mosa, Harun ban Hur ongga ka gunong, napa’ ka konco’na.
Dan terjadilah, apabila Musa mengangkat tangannya, lebih kuatlah Israel, tetapi apabila ia menurunkan tangannya, lebih kuatlah Amalek.	Mon Mosa teppa’na ngangka’ astana adu’a, oreng Isra’il mennang, tape mon astana epatoron, oreng Amalek mennang.
Maka penatlah tangan Musa, sebab itu mereka mengambil sebuah batu, diletakkanlah di bawahnya, supaya ia duduk di atasnya; Harun dan Hur menopang kedua belah tangannya, seorang di sisi yang satu, seorang di sisi yang lain, sehingga tangannya tidak bergerak sampai matahari terbenam.	Daddi Mosa sampe’ lesso, Harun ban Hur laju mondhut bato egabay kalenggiyanna Mosa, Harun ban Hur manjeng e kangan kacerra Mosa, nagenne lengngenna Mosa salaja ebang, daddi lengngen jareya paggun eangka’ sampe’ compet are.
Demikianlah Yosua mengalahkan Amalek dan rakyatnya dengan mata pedang.	Kalaban cara se kantha jareya oreng Amalek epakala bi’ Yusak.
Kemudian berfirmanlah TUHAN kepada Musa: "Tuliskanlah semuanya ini dalam sebuah kitab sebagai tanda peringatan, dan ingatkanlah ke telinga Yosua, bahwa Aku akan menghapuskan sama sekali ingatan kepada Amalek dari kolong langit."	Dhabuna PANGERAN ka Mosa, "Cathet kamennangan jareya me’ olle terros ekaenga’e. Kabala ka Yusak ja’ oreng Amalek bi’ Sengko’ epatompessa."
Lalu Musa mendirikan sebuah mezbah dan menamainya: "Tuhanlah panji-panjiku!"	Mosa pas abadhi mezba se enyamae "PANGERAN reya tang Bul-ombul".
Ia berkata: "Tangan di atas panji-panji TUHAN! TUHAN berperang melawan Amalek turun-temurun."	Dhabuna Mosa, "Mara teggu’ patenggi bul-ombulla PANGERAN reya! PANGERAN bakal aperranga ros-terrosan ban oreng Amalek!"
Setelah mereka berangkat dari Elim, tibalah segenap jemaah Israel di padang gurun Sin, yang terletak di antara Elim dan gunung Sinai, pada hari yang kelima belas bulan yang kedua, sejak mereka keluar dari tanah Mesir.	Oreng Isra’il padha mangkat dhari Elim. E tanggal lema bellas e bulan se kapeng dhuwa’ saellana mangkat dhari Messer, reng-oreng jareya napa’ ka ra-ara Sin se badha e antarana Elim ban Sinay.
Di padang gurun itu bersungut-sungutlah segenap jemaah Israel kepada Musa dan Harun;	E ra-ara jareya ommat Isra’il padha ango’ngo’an ka Mosa ban Harun,
dan berkata kepada mereka: "Ah, kalau kami mati tadinya di tanah Mesir oleh tangan TUHAN ketika kami duduk menghadapi kuali berisi daging dan makan roti sampai kenyang! Sebab kamu membawa kami keluar ke padang gurun ini untuk membunuh seluruh jemaah ini dengan kelaparan."	oca’na, "Ja’ sakenga bi’ PANGERAN kaula epamate e Messer bai, e baktona ju’-toju’ ngadhebbi panci se aesse daging ban teppa’na ngakan roti sampe’ kennyang, gu ta’ anyamanan. Tape bi’ sampeyan kaula egiba ka ka’iya epamateya kalaparan."
Lalu berfirmanlah TUHAN kepada Musa: "Sesungguhnya Aku akan menurunkan dari langit hujan roti bagimu; maka bangsa itu akan keluar dan memungut tiap-tiap hari sebanyak yang perlu untuk sehari, supaya mereka Kucoba, apakah mereka hidup menurut hukum-Ku atau tidak.	Dhabuna PANGERAN, "Sateya Sengko’ matorona ojan kakanan dhari langnge’ se daddiya kakanna ba’na kabbi re-saarena. Sabban arena oreng Isra’il kodu kalowar, makompol kakanan se cokop kaangguy kaparlowanna saare. Kalaban cara se kantha jareya Sengko’ terro taowa apa reng-oreng jareya atoro’ ka Tang parenta apa enja’.
Dan pada hari yang keenam, apabila mereka memasak yang dibawa mereka pulang, maka yang dibawa itu akan terdapat dua kali lipat banyaknya dari apa yang dipungut mereka sehari-hari."	E are se kapeng ennem mon makompol kakanan, reng-oreng jareya soro ngala’ dhu kalena bannya’na se biyasana."
Sesudah itu berkatalah Musa dan Harun kepada seluruh orang Israel: "Petang ini kamu akan mengetahui bahwa Tuhanlah yang telah membawa kamu keluar dari tanah Mesir.	Dhabuna Mosa ban Harun ka reng-oreng Isra’il, "Dhaggi’ lem-malem ba’na bakal taowa ja’ se ngeba ba’na dha’ enna’ reya PANGERAN dibi’.
Dan besok pagi kamu melihat kemuliaan TUHAN, karena Ia telah mendengar sungut-sungutmu kepada-Nya. Sebab, apalah kami ini maka kamu bersungut-sungut kepada kami?"	Laggu’ gi’ laggu ba’na bakal ngangaleyana kamolja’anna PANGERAN, sabab PANGERAN la meyarsa ba’na aseddhiyan ka Salerana. Sanyatana ba’na jareya pajat ango’ngo’an ka PANGERAN, sabab sengko’ reya coma ajalannagi dhabuna."
Lagi kata Musa: "Jika memang TUHAN yang memberi kamu makan daging pada waktu petang dan makan roti sampai kenyang pada waktu pagi, karena TUHAN telah mendengar sungut-sungutmu yang kamu sungut-sungutkan kepada-Nya--apalah kami ini? Bukan kepada kami sungut-sungutmu itu, tetapi kepada TUHAN."	Mosa pas adhabu pole, "PANGERAN dibi’ se aparenga daging se ekakana ba’na e bakto malem, ban PANGERAN keya se aparenga roti se ekaparlo ba’na gu-laggu, sabab PANGERAN la meyarsa ba’na aseddhiyan ka Salerana. Sabab mon ba’na aseddhiyan ka sengko’ artena ba’na aseddhiyan ka PANGERAN."
Kata Musa kepada Harun: "Katakanlah kepada segenap jemaah Israel: Marilah dekat ke hadapan TUHAN, sebab Ia telah mendengar sungut-sungutmu."	Dhabuna Mosa ka Harun, "Kabala ka reng-oreng rowa sopaja padha’a ngadhep ka PANGERAN, sabab PANGERAN la meyarsa ngo’ngo’na reng-oreng jareya."
Dan sedang Harun berbicara kepada segenap jemaah Israel, mereka memalingkan mukanya ke arah padang gurun--maka tampaklah kemuliaan TUHAN dalam awan.	Teppa’na Harun abu-dhabu ka reng-oreng jareya, kabbi padha atole ka sagara beddhi, ban o-tao pas nangale’e sonarra PANGERAN dhari dhalem ondhem.
Lalu berfirmanlah TUHAN kepada Musa:	Dhabuna PANGERAN ka Mosa,
"Aku telah mendengar sungut-sungut orang Israel; katakanlah kepada mereka: Pada waktu senja kamu akan makan daging dan pada waktu pagi kamu akan kenyang makan roti; maka kamu akan mengetahui, bahwa Akulah TUHAN, Allahmu."	"Sengko’ la ngedhing ngo’ngo’na oreng Isra’il. Kabala ka reng-oreng jareya ja’ mon malem kabbi bakal bisa’a ngakan daging, ban e bakto gu-laggu kabbi bakal padha bisa’a ngakan roti sampe’ kennyang. Daddi reng-oreng jareya bakal taowa ja’ Sengko’ reya PANGERAN, Allahna."
Pada waktu petang datanglah berduyun-duyun burung puyuh yang menutupi perkemahan itu; dan pada waktu pagi terletaklah embun sekeliling perkemahan itu.	E baja asar pas badha mano’ gemmek ce’ bannya’na sampe’ parkemahan jareya ta’ etangale’e, ban e baja laggu e sabingkerra parkemahan jareya toron ebbun.
Ketika embun itu telah menguap, tampaklah pada permukaan padang gurun sesuatu yang halus, sesuatu yang seperti sisik, halus seperti embun beku di bumi.	E bakto ebbun jareya la ngebbat, sagara beddhi jareya laju katon katotoban barang se tepes, akantha sesse’ se alos, padha ban ebbun se kecceng daddi es.
Ketika orang Israel melihatnya, berkatalah mereka seorang kepada yang lain: "Apakah ini?" Sebab mereka tidak tahu apa itu. Tetapi Musa berkata kepada mereka: "Inilah roti yang diberikan TUHAN kepadamu menjadi makananmu.	E bakto reng-oreng Isra’il nangale’e jareya, kabbi padha ta’ tao apa jareya. Daddi kabbi padha saleng atanya, "Apa rowa?" Dhabuna Mosa, "Jareya kakanan paparengnga PANGERAN, se daddiya kakanna ba’na.
Beginilah perintah TUHAN: Pungutlah itu, tiap-tiap orang menurut keperluannya; masing-masing kamu boleh mengambil untuk seisi kemahnya, segomer seorang, menurut jumlah jiwa."	Dhabuna PANGERAN, ba’na coma olle makompol cokop saparlowanna. Ba’na olle makompol se ekaparlo saessena kemahna, rang-sorangnga dhu liter."
Demikianlah diperbuat orang Israel; mereka mengumpulkan, ada yang banyak, ada yang sedikit.	Reng-oreng Isra’il atoro’ ka parenta jareya; badha se ngala’ lebbi, badha se ngala’ korang.
Ketika mereka menakarnya dengan gomer, maka orang yang mengumpulkan banyak, tidak kelebihan dan orang yang mengumpulkan sedikit, tidak kekurangan. Tiap-tiap orang mengumpulkan menurut keperluannya.	Bakto etaker, se makompol lebbi etemmo tadha’ lebbina, ban se makompol korang etemmo ta’ korang. Kabbi padha eppas ban bannya’na se ekaparlo bang-sebang.
Musa berkata kepada mereka: "Seorangpun tidak boleh meninggalkan dari padanya sampai pagi."	Dhabuna Mosa, "Ta’ olle badha se nyempen lebbina sampe’ kalagguwanna."
Tetapi ada yang tidak mendengarkan Musa dan meninggalkan dari padanya sampai pagi, lalu berulat dan berbau busuk. Maka Musa menjadi marah kepada mereka.	Tape badha se ta’ ngedhingngagi ka dhabuna Mosa. Reng-oreng jareya nyempen sabagiyan dhari kakanan jareya. Kalagguwanna karena se esempen jareya etemmo bucco’, bannya’ ola’na; Mosa duka ka reng-oreng jareya.
Setiap pagi mereka memungutnya, tiap-tiap orang menurut keperluannya; tetapi ketika matahari panas, cairlah itu.	Sabban gu-laggu reng-oreng jareya ngala’ pera’ saparlowanna bang-sebang; mon are la panas, karena se badha e tana etemmo ancar daddi aeng.
Dan pada hari yang keenam mereka memungut roti itu dua kali lipat banyaknya, dua gomer untuk tiap-tiap orang; dan datanglah semua pemimpin jemaah memberitahukannya kepada Musa.	E are se kapeng ennem oreng Isra’il jareya makompol kakanan jareya bannya’na dhu kalena biyasana, iya areya pa’ liter rang-sorangnga. Para pamimpinna bangsa Isra’il mator parkara jareya ka Mosa.
Lalu berkatalah Musa kepada mereka: "Inilah yang dimaksudkan TUHAN: Besok adalah hari perhentian penuh, sabat yang kudus bagi TUHAN; maka roti yang perlu kamu bakar, bakarlah, dan apa yang perlu kamu masak, masaklah; dan segala kelebihannya biarkanlah di tempatnya untuk disimpan sampai pagi."	Dhabuna Mosa, "PANGERAN adhabu: Ja’ lagguna reya are se kusus kaangguy aistirahat, are Sabat, are se eangguy kusus abakte ka PANGERAN. Apa se epangganga ba’na, panggang are teya, apa se ekella’a, kella are teya keya. Lebbina saba’, angguy lagguna."
Mereka membiarkannya di tempatnya sampai keesokan harinya, seperti yang diperintahkan Musa; lalu tidaklah berbau busuk dan tidak ada ulat di dalamnya.	Daddi lebbina kakanan jareya bi’ reng-oreng gella’ esaba’, akantha se edhabuwagi Mosa; kakanan jareya ta’ bucco’ ban tadha’ ola’na.
