Peliharalah kasih persaudaraan!	Sampeyan kodu saleng taresna menangka reng-oreng Kristen se ataretanan.
Sebab setiap Imam Besar ditetapkan untuk mempersembahkan korban dan persembahan dan karena itu Yesus perlu mempunyai sesuatu untuk dipersembahkan.	Saneyap imam agung eangkat kaangguy ngatorragi kurban otaba tor-ator ka Allah. Sapaneka jugan Imam Agungnga sampeyan sareng kaula; Salerana kodu kaagungan pa-ponapa kaangguy tor-ator.
Sekiranya Ia di bumi ini, Ia sama sekali tidak akan menjadi imam, karena di sini telah ada orang-orang yang mempersembahkan persembahan menurut hukum Taurat.	Ja’ sakenga Salerana badha e dunnya paneka, Salerana ta’ kera daddi imam, sabab ampon badha imam se ngatorragi kurban se etantowagi e dhalem hokomma agama Yahudi.
Pelayanan mereka adalah gambaran dan bayangan dari apa yang ada di sorga, sama seperti yang diberitahukan kepada Musa, ketika ia hendak mendirikan kemah: "Ingatlah," demikian firman-Nya, "bahwa engkau membuat semuanya itu menurut contoh yang telah ditunjukkan kepadamu di atas gunung itu."	Lalakon se elakone mam-imam ganeka sanyatana namong gambarra ponapa se badha e sowarga. Ganeka ampon edhabuwagi sareng Allah ka Mosa gi’ dhimen, e bakto Mosa maddegga Kemah Socce. Allah adhabu sapaneka ka Mosa, "Senga’! Jareya kabbi kodu ekagabay menorot conto se la epatao ka ba’na e attas gunong."
Tetapi sekarang Ia telah mendapat suatu pelayanan yang jauh lebih agung, karena Ia menjadi Pengantara dari perjanjian yang lebih mulia, yang didasarkan atas janji yang lebih tinggi.	Nangeng samangken Isa narema lalakonna imam se amolja’an dhari se elampa’agi mam-imam ganeka. Sabab parjanjiyan se ebadha’agi e antarana Allah ban manossa ganeka parjanjiyan se lebbi sae sabab adhasar janji kaangguy sabarang se lebbi sae.
Sebab, sekiranya perjanjian yang pertama itu tidak bercacat, tidak akan dicari lagi tempat untuk yang kedua.	Ja’ sakenga parjanjiyan se dha’-adha’ ganeka tadha’ korangnga, ta’ parlo ebadha’agi parjanjiyan se nomer dhuwa’.
Sebab Ia menegor mereka ketika Ia berkata: "Sesungguhnya, akan datang waktunya," demikianlah firman Tuhan, "Aku akan mengadakan perjanjian baru dengan kaum Israel dan dengan kaum Yehuda,	Nangeng Allah ampon manggi’i kasala’anna ommadda, daddi Allah adhabu, "Senga’, bakal dhapa’a baktona Sengko’ mabadha’a parjanjiyan se anyar ban bangsa Isra’il, sarta ban bangsa Yehuda.
bukan seperti perjanjian yang telah Kuadakan dengan nenek moyang mereka, pada waktu Aku memegang tangan mereka untuk membawa mereka keluar dari tanah Mesir. Sebab mereka tidak setia kepada perjanjian-Ku, dan Aku menolak mereka," demikian firman Tuhan.	Banne akantha parjanjiyan se ebadha’agi Sengko’ ban bangatowana e bakto Sengko’ nonton reng-oreng jareya kalowar dhari Messer. Reng-oreng jareya ta’ esto neggu’i parjanjiyanna ban Sengko’; jareya sababba reng-oreng jareya ta’ eparduli bi’ Sengko’.
"Maka inilah perjanjian yang Kuadakan dengan kaum Israel sesudah waktu itu," demikianlah firman Tuhan. "Aku akan menaruh hukum-Ku dalam akal budi mereka dan menuliskannya dalam hati mereka, maka Aku akan menjadi Allah mereka dan mereka akan menjadi umat-Ku.	Tape sateya, areya’ parjanjiyan se ebadha’agiya Sengko’ ban ommat Isra’il e re-are se bakal dhatengnga, dhabuna Pangeran: Sengko’ nyaba’a Tang hokom e dhalem atena bangsa jareya, ban etolesa e dhalem atena. Sengko’ daddiya Allahna reng-oreng jareya, ban reng-oreng jareya daddiya Tang ommat.
Dan mereka tidak akan mengajar lagi sesama warganya, atau sesama saudaranya dengan mengatakan: Kenallah Tuhan! Sebab mereka semua, besar kecil, akan mengenal Aku.	Reng-oreng jareya ta’ parlo ngajar kadhang wargana, otaba malae ka taretanna, ‘Ba’na kodu kennal ka Pangeran.’ Sabab reng-oreng jareya, raja kene’, bakal padha’a kennal ka Sengko’ kabbi.
Sebab Aku akan menaruh belas kasihan terhadap kesalahan mereka dan tidak lagi mengingat dosa-dosa mereka."	Kasala’anna bi’ Sengko’ esapora’a ban sa-dusana ta’ ekaenga’ana."
Oleh karena Ia berkata-kata tentang perjanjian yang baru, Ia menyatakan yang pertama sebagai perjanjian yang telah menjadi tua. Dan apa yang telah menjadi tua dan usang, telah dekat kepada kemusnahannya.	Kalaban adhabuwagi parkara settong parjanjiyan se anyar, parjanjiyan se dha’-adha’ ganeka bi’ Pangeran epalaju; ban ponapa se laju paneka bakal duliya mosna.
Sebab Melkisedek adalah raja Salem dan imam Allah Yang Mahatinggi; ia pergi menyongsong Abraham ketika Abraham kembali dari mengalahkan raja-raja, dan memberkati dia.	Melkisedek paneka rato dhari Salem ban imamma Allah Se Mahatenggi. E bakto Ibrahim abali dhari paperrangan makala to-rato, Melkisedek ngamba’ Ibrahim sarta aberkadi salerana.
Kepadanyapun Abraham memberikan sepersepuluh dari semuanya. Menurut arti namanya Melkisedek adalah pertama-tama raja kebenaran, dan juga raja Salem, yaitu raja damai sejahtera.	Sareng Ibrahim Melkisedek laju eatore saparpolonna sadajana barang rampasanna. (Nyama Melkisedek paneka artena, kapeng settong, "Rato Kaadilan"; ban sarrena salerana rato Salem, asmana pas gadhuwan arte jugan "Rato Kasajahtera’an".)
Ia tidak berbapa, tidak beribu, tidak bersilsilah, harinya tidak berawal dan hidupnya tidak berkesudahan, dan karena ia dijadikan sama dengan Anak Allah, ia tetap menjadi imam sampai selama-lamanya.	Parkara Melkisedek paneka tadha’ katerrangan e ka’dhimma’a saos ja’ salerana kaagungan rama ebu otaba bangatowa; jugan tadha’ katerrangan parkara kalahiranna, otaba sedana. Salerana padha sareng Pottrana Allah; salerana imam se langgeng.
Camkanlah betapa besarnya orang itu, yang kepadanya Abraham, bapa leluhur kita, memberikan sepersepuluh dari segala rampasan yang paling baik.	Daddi sampeyan sareng kaula sadaja oneng saponapa rajana Melkisedek paneka; sakeng rajana kantos Ibrahim, bangatowana sampeyan sareng kaula sadaja, ngatorragi ka salerana saparpolonna sadajana se ekaolle salerana dhari paperrangan ka’issa’.
Dan mereka dari anak-anak Lewi, yang menerima jabatan imam, mendapat tugas, menurut hukum Taurat, untuk memungut persepuluhan dari umat Israel, yaitu dari saudara-saudara mereka, sekalipun mereka ini juga adalah keturunan Abraham.	E dhalem hokomma agama Yahudi etantowagi ja’ mam-imam toronanna Lewi kodu mondhut saparpolonna pangaselanna ommat Isra’il, enggi paneka tan-taretanna dibi’, sanare sadaja padha toronanna Ibrahim.
Tetapi Melkisedek, yang bukan keturunan mereka, memungut persepuluhan dari Abraham dan memberkati dia, walaupun ia adalah pemilik janji.	Melkisedek banne toronanna Lewi, nangeng narema jugan saparpolonna sadajana se erebbu’ Ibrahim, ban la’-mala’ aberkadi Ibrahim se narema ji-janji dhari Allah.
Memang tidak dapat disangkal, bahwa yang lebih rendah diberkati oleh yang lebih tinggi.	Pajat ta’ bisa epongkere ja’ oreng se eberkadi amandhaban dhari se aberkadi.
Dan di sini manusia-manusia fana menerima persepuluhan, dan di sana Ia, yang tentang Dia diberi kesaksian, bahwa Ia hidup.	Mam-imam se narema saparpolon bagiyan ganeka oreng se bisa seda. Nangeng menorot Alketab, Melkisedek se narema tor-ator saparpolon bagiyan ganeka oreng se teptep odhi’.
Maka dapatlah dikatakan, bahwa dengan perantaraan Abraham dipungut juga persepuluhan dari Lewi, yang berhak menerima persepuluhan,	Ekenneng koca’, ja’ Lewi — se toronanna mondhut tor-ator saparpolonna hasella ommat Isra’il majar jugan bagiyan ganeka lebat Ibrahim, e bakto Ibrahim majarragi ka Melkisedek.
sebab ia masih berada dalam tubuh bapa leluhurnya, ketika Melkisedek menyongsong bapa leluhurnya itu.	Sanare Lewi gi’ ta’ lahir, nangeng ekenneng koca’ ampon badha e dhalem badanna Ibrahim bangatowana, e bakto Melkisedek tapanggi sareng Ibrahim.
Karena itu, andaikata oleh imamat Lewi telah tercapai kesempurnaan--sebab karena imamat itu umat Israel telah menerima Taurat--apakah sebabnya masih perlu seorang lain ditetapkan menjadi imam besar menurut peraturan Melkisedek dan yang tentang dia tidak dikatakan menurut peraturan Harun?	E dhalem pimpinanna mam-imam Lewi, hokomma agama Yahudi eparengngagi ka ommat Isra’il. Sarrena mam-imam Lewi gi’ dhimen ta’ bisa samporna alampa’agi lalakonna, daddi kodu badha imam laen, enggi paneka se akadi Imam Melkisedek, ban banne dhari golonganna Imam Harun pole!
Sebab, jikalau imamat berubah, dengan sendirinya akan berubah pula hukum Taurat itu.	Daddi, manabi kadhudhuganna mam-imam aoba, hokomma agama Yahudi kodu aoba jugan.
Sebab Ia, yang dimaksudkan di sini, termasuk suku lain; dari suku ini tidak ada seorangpun yang pernah melayani di mezbah.	Se emaksod e ka’iya enggi paneka Guste Isa: Salerana dhari suku laen, ban gi’ ta’ oneng badha settonga dhari sukuna se daddi imam.
Sebab telah diketahui semua orang, bahwa Tuhan kita berasal dari suku Yehuda dan mengenai suku itu Musa tidak pernah mengatakan suatu apapun tentang imam-imam.	Sadajana oreng padha oneng ja’ Guste Isa asalla dhari suku Yehuda; ban Mosa ta’ oneng nyebbuttagi suku ganeka e bakto abu-dhabu parkara mam-imam.
Dan hal itu jauh lebih nyata lagi, jikalau ditetapkan seorang imam lain menurut cara Melkisedek,	Sadaja parkara paneka sajan terrang saamponna badha imam laen se akadi Melkisedek.
yang menjadi imam bukan berdasarkan peraturan-peraturan manusia, tetapi berdasarkan hidup yang tidak dapat binasa.	Salerana eangkat epadaddi imam, banne noro’ dhasar atoran-atoranna manossa, nangeng adhasar odhi’na se kobasa ban tadha’ aherra.
Sebab tentang Dia diberi kesaksian: "Engkau adalah Imam untuk selama-lamanya, menurut peraturan Melkisedek."	Sabab e dhalem Alketab esebbuttagi, "Ba’na reya imam salanjangnga, akantha Imam Melkisedek."
Memang suatu hukum yang dikeluarkan dahulu dibatalkan, kalau hukum itu tidak mempunyai kekuatan dan karena itu tidak berguna,	Daddi, samangken atoran se laju ampon epatadha’ sabab ta’ kowat ban ta’ aguna.
--sebab hukum Taurat sama sekali tidak membawa kesempurnaan--tetapi sekarang ditimbulkan pengharapan yang lebih baik, yang mendekatkan kita kepada Allah.	Hokomma agama Yahudi ta’ bisa masamporna ponapa’a saos. Ganeka sababba sampeyan sareng kaula sadaja samangken eparenge settong pangarebban se lebbi sae; kalaban pangarebban ganeka sampeyan sareng kaula sadaja bisa nyemma’e Allah.
Dan sama seperti hal ini tidak terjadi tanpa sumpah--memang mereka telah menjadi imam tanpa sumpah,	Ban pole, ganeka sadaja etoro’e sompa dhari Allah. Tadha’ sompa kadi ganeka e bakto mam-imam laenna eangkat.
tetapi Ia dengan sumpah, diucapkan oleh Dia yang berfirman kepada-Nya: "Tuhan telah bersumpah dan Ia tidak akan menyesal: Engkau adalah Imam untuk selama-lamanya" --	Nangeng Isa eangkat epadaddi imam ngangguy sompa, e bakto Allah adhabu ka Salerana, "Pangeran la asompa ban ta’ kera ngoba sompana, ‘Ba’na imam salanjangnga.’"
demikian pula Yesus adalah jaminan dari suatu perjanjian yang lebih kuat.	Kalaban paneka jugan Isa daddi tanggungan kaangguy settong parjanjiyan se lebbi sae.
Dan dalam jumlah yang besar mereka telah menjadi imam, karena mereka dicegah oleh maut untuk tetap menjabat imam.	Badha pole bidana: mam-imam laenna bannya’, sabab padha seda kantos ta’ bisa nerrossagi lalakonna.
Tetapi, karena Ia tetap selama-lamanya, imamat-Nya tidak dapat beralih kepada orang lain.	Nangeng Isa odhi’ terros, daddi jabadanna menangka imam ta’ epagante ka oreng laen.
Karena itu Ia sanggup juga menyelamatkan dengan sempurna semua orang yang oleh Dia datang kepada Allah. Sebab Ia hidup senantiasa untuk menjadi Pengantara mereka.	Daddi Isa saterrossa bisa masalamet reng-oreng se nyander ka Allah lebat Salerana, sabab Salerana odhi’ saterrossa kaangguy manapa’ parnyo’onan ka Allah kaangguy reng-oreng ganeka.
Sebab Imam Besar yang demikianlah yang kita perlukan: yaitu yang saleh, tanpa salah, tanpa noda, yang terpisah dari orang-orang berdosa dan lebih tinggi dari pada tingkat-tingkat sorga,	Daddi Isa ganeka Imam Agung se ekaparlo sampeyan sareng kaula sadaja. Salerana epalaen dhari reng-oreng se dusa, ban epaongga sampe’ ka kennengngan se atenggiyan dhari sadajana langnge’.
yang tidak seperti imam-imam besar lain, yang setiap hari harus mempersembahkan korban untuk dosanya sendiri dan sesudah itu barulah untuk dosa umatnya, sebab hal itu telah dilakukan-Nya satu kali untuk selama-lamanya, ketika Ia mempersembahkan diri-Nya sendiri sebagai korban.	Salerana ta’ padha sareng mam-imam agung laenna, se sabban are kodu ngatorragi kurban polana sa-dusana dibi’ dhimen, pas buru polana sa-dusana ommadda. Isa ngatorragi kurban namong sakaleyan saos kaangguy salanjangnga, e bakto ngatorragi saleraepon dibi’ menangka kurban.
Sebab hukum Taurat menetapkan orang-orang yang diliputi kelemahan menjadi Imam Besar, tetapi sumpah, yang diucapkan kemudian dari pada hukum Taurat, menetapkan Anak, yang telah menjadi sempurna sampai selama-lamanya.	Hokomma agama Yahudi ngangkat oreng se ta’ samporna epadaddi imam agung. Nangeng saamponna hokom ganeka, Allah abadhi janji se epakowat sareng sompa ja’ Salerana ngangkat Pottrana epadaddi Imam Agung, enggi paneka Pottrana se ampon epadaddi Panyalamet se samporna kaangguy salanjangnga.
Sebab itu marilah kita tinggalkan asas-asas pertama dari ajaran tentang Kristus dan beralih kepada perkembangannya yang penuh. Janganlah kita meletakkan lagi dasar pertobatan dari perbuatan-perbuatan yang sia-sia, dan dasar kepercayaan kepada Allah,	Daddi tore samangken sampeyan sareng kaula sadaja ongga ka pangajaran-pangajaran se atenggiyan parkara kadibasa’anna odhi’na oreng Kristen, ban ja’ pera’ agateyagi sas-asas se kapeng settong e dhalem pangajaranna agamana sampeyan sareng kaula sadaja. Sampeyan sareng kaula sadaja ja’ ngolange pole pangajaran dhasar se nerrangngagi ja’ oreng kodu ambu ngalakone pa-ponapa se ta’ aguna ban kodu parcaja ka Allah,
yaitu ajaran tentang pelbagai pembaptisan, penumpangan tangan, kebangkitan orang-orang mati dan hukuman kekal.	otabana pangajaran dhasar parkara pambaptisan otabana parkara nompangngagi tanang ka attassa oreng, otabana parkara odhi’ pole saamponna seda otabana parkara okoman se langgeng.
Dan itulah yang akan kita perbuat, jika Allah mengizinkannya.	Ngereng sampeyan sareng kaula sadaja, manabi Allah ngarsa’agi, ongga ka pangajaran-pangajaran se jang tenggiyan!
Sebab mereka yang pernah diterangi hatinya, yang pernah mengecap karunia sorgawi, dan yang pernah mendapat bagian dalam Roh Kudus,	Sabab, reng-oreng se ampon mortad ta’ kera epateppa’ pole. Reng-oreng ganeka gi’ dhimen ampon badha e dhalem terrangnga Allah, ban ampon ane’madi paparengnga. Reng-oreng ganeka jugan ampon noro’ ekobasae Errohna Allah.
dan yang mengecap firman yang baik dari Allah dan karunia-karunia dunia yang akan datang,	Dhari pangalamanna, reng-oreng ganeka oneng ja’ dhabuna Allah ganeka sae, ban reng-oreng ganeka ampon ngarassa’agi reng-papareng se kobasa dhari jaman se bakal dhateng.
namun yang murtad lagi, tidak mungkin dibaharui sekali lagi sedemikian, hingga mereka bertobat, sebab mereka menyalibkan lagi Anak Allah bagi diri mereka dan menghina-Nya di muka umum.	Nangeng saamponna ganeka, reng-oreng ganeka mortad! Kadi ponapa se bisa’a malerres reng-oreng ganeka pole sopaja atobat pole dhari sa-dusana. Sabab reng-oreng ganeka nyalibbagi pole Pottrana Allah ban ya-nyeya Salerana e adha’na oreng bannya’.
Sebab tanah yang menghisap air hujan yang sering turun ke atasnya, dan yang menghasilkan tumbuh-tumbuhan yang berguna bagi mereka yang mengerjakannya, menerima berkat dari Allah;	Tana se ngesep aeng ojan se seggut toron ka attasanna, pas ngasellagi men-tamennan se aguna ka oreng se agarap, tana ganeka eberkadi Allah.
tetapi jikalau tanah itu menghasilkan semak duri dan rumput duri, tidaklah ia berguna dan sudah dekat pada kutuk, yang berakhir dengan pembakaran.	Nangeng mon tana ganeka ngasellagi lalang ban bu-tombuwan se adhuri, tana ganeka tadha’ gunana, ban bakal ebastowa sareng Allah ban dhi-budhina eobbar kantos tadha’ karena.
Tetapi, hai saudara-saudaraku yang kekasih, sekalipun kami berkata demikian tentang kamu, kami yakin, bahwa kamu memiliki sesuatu yang lebih baik, yang mengandung keselamatan.	Nangeng tan-taretan se kakase, sanare kaula sadaja ngoca’ sapaneka, nangeng kaula sadaja yakin parkara sampeyan. Kaula sadaja yakin ja’ sampeyan ampon narema pa-ponapa se lebbi sae, enggi paneka kat-berkat se daddi bagiyanna kasalameddanna sampeyan.
Sebab Allah bukan tidak adil, sehingga Ia lupa akan pekerjaanmu dan kasihmu yang kamu tunjukkan terhadap nama-Nya oleh pelayanan kamu kepada orang-orang kudus, yang masih kamu lakukan sampai sekarang.	Allah banne Allah se ta’ adil. Salerana ta’ kalep ka ponapa se elampa’agi sampeyan kaagem Salerana, ban kataresna’an se eduduwagi sampeyan ka Salerana e bakto nolong tan-taretan se saiman, gi’ dhimen sareng samangken.
Tetapi kami ingin, supaya kamu masing-masing menunjukkan kesungguhan yang sama untuk menjadikan pengharapanmu suatu milik yang pasti, sampai pada akhirnya,	Kaula sadaja ce’ terrona sampeyan padha samangat kantos aher, kantos sampeyan narema se erep-arep sampeyan.
agar kamu jangan menjadi lamban, tetapi menjadi penurut-penurut mereka yang oleh iman dan kesabaran mendapat bagian dalam apa yang dijanjikan Allah.	Kaula sadaja ta’ terro sampeyan daddi males. Nangeng kaula sadaja terro sopaja sampeyan odhi’ akadi reng-oreng se narema se ejanjiyagi Allah, polana parcaja ka Salerana ban polana sabbar se te’-nante’an.
Sebab ketika Allah memberikan janji-Nya kepada Abraham, Ia bersumpah demi diri-Nya sendiri, karena tidak ada orang yang lebih tinggi dari pada-Nya,	E bakto Allah ajanji ka Ibrahim, Salerana asompa badhi alampa’agiya ponapa se ejanjiyagi Salerana. Ban sarrena tadha’ se atenggiyan dhari Allah, daddi Salerana asompa bit asmana Salerana dibi’.
kata-Nya: "Sesungguhnya Aku akan memberkati engkau berlimpah-limpah dan akan membuat engkau sangat banyak."	Salerana adhabu, "Sengko’ ajanji aberkadana ba’na ban mabannya’a toronanna ba’na."
Abraham menanti dengan sabar dan dengan demikian ia memperoleh apa yang dijanjikan kepadanya.	Ibrahim sabbar anante’, daddi narema ponapa se ejanjiyagi Allah ka Salerana.
Sebab manusia bersumpah demi orang yang lebih tinggi, dan sumpah itu menjadi suatu pengokohan baginya, yang mengakhiri segala bantahan.	Mon oreng asompa, oreng ganeka asompa bit nyamana oreng laen se atenggiyan dhari aba’na, daddi sompa ganeka ngahere sadaja se alaban.
Karena itu, untuk lebih meyakinkan mereka yang berhak menerima janji itu akan kepastian putusan-Nya, Allah telah mengikat diri-Nya dengan sumpah,	Allah kasokan materranga ka reng-oreng se narema janjina, ja’ Salerana ta’ ngoba’a rancanana ganeka. Ganeka sababba Allah namba’agi sompa ka janjina ganeka.
supaya oleh dua kenyataan yang tidak berubah-ubah, tentang mana Allah tidak mungkin berdusta, kita yang mencari perlindungan, beroleh dorongan yang kuat untuk menjangkau pengharapan yang terletak di depan kita.	Parkara se dhadhuwa’ ganeka ta’ bisa aoba: Allah ta’ kera lecek parkara janji sareng sompana. Daddi, sampeyan sareng kaula sadaja se ampon anaong ka Allah, eparenge samangat se kowat kaangguy koko neggu’i ka pangarebban se badha e adha’na mata paneka.
Pengharapan itu adalah sauh yang kuat dan aman bagi jiwa kita, yang telah dilabuhkan sampai ke belakang tabir,	Pangarebbanna sampeyan sareng kaula sadaja ganeka akadi jangkar se ebendhem ce’ dhalemma ban daddi paneggudan se koko sareng aman kaangguy odhi’na sampeyan sareng kaula sadaja. Pangarebban ganeka nerbas bir-tabirra Kennengngan Se Mahasocce e Padalemman Socce e sowarga.
di mana Yesus telah masuk sebagai Perintis bagi kita, ketika Ia, menurut peraturan Melkisedek, menjadi Imam Besar sampai selama-lamanya.	Isa ampon ababat jalan ganeka kaangguy sampeyan sareng kaula sadaja, ban ampon maso’ ka ka’dhissa’ daddi Imam Agungnga sampeyan sareng kaula sadaja kaangguy salanjangnga, akadi Imam Melkisedek.
Sebab setiap imam besar, yang dipilih dari antara manusia, ditetapkan bagi manusia dalam hubungan mereka dengan Allah, supaya ia mempersembahkan persembahan dan korban karena dosa.	Saneyap imam agung epele dhari antarana ommat, ban eangkat kaangguy ngabdi ka Allah menangka bakkella ommat ganeka. Lakona enggi paneka ngatorragi ka Allah tor-ator sareng ban-kurban kaangguy panyapora’anna dusa.
Ia harus dapat mengerti orang-orang yang jahil dan orang-orang yang sesat, karena ia sendiri penuh dengan kelemahan,	Imam agung ganeka dibi’ bannya’ kakoranganna, daddi bisa alos ka reng-oreng se ta’ oneng pa-ponapa ban se nyaleyot jalanna.
yang mengharuskannya untuk mempersembahkan korban karena dosa, bukan saja bagi umat, tetapi juga bagi dirinya sendiri.	Ban polana salerana dibi’ badha kakoranganna, daddi kodu ngatorragi kurban, banne namong polana sa-dusana ommat, nangeng jugan polana sa-dusana dibi’.
Dan tidak seorangpun yang mengambil kehormatan itu bagi dirinya sendiri, tetapi dipanggil untuk itu oleh Allah, seperti yang telah terjadi dengan Harun.	Tadha’ oreng settonga se ngangkat aba’na dibi’ daddi imam agung. Allah nembali aba’na kaangguy lalakon ganeka — padha akadi Harun.
Demikian pula Kristus tidak memuliakan diri-Nya sendiri dengan menjadi Imam Besar, tetapi dimuliakan oleh Dia yang berfirman kepada-Nya: "Anak-Ku Engkau! Engkau telah Kuperanakkan pada hari ini",	Sapaneka jugan Almasih. Salerana ta’ ngangkat Salerana dibi’ daddi Imam Agung. Allah dibi’ se ngangkat Salerana. Allah adhabu ka Salerana, "Ba’na Tang Ana’; e are teya Sengko’ daddi Ramana Ba’na."
sebagaimana firman-Nya dalam suatu nas lain: "Engkau adalah Imam untuk selama-lamanya, menurut peraturan Melkisedek."	E kennengngan laen Allah adhabu jugan, "Ba’na reya imam salanjangnga, padha ban Imam Melkisedek."
Dalam hidup-Nya sebagai manusia, Ia telah mempersembahkan doa dan permohonan dengan ratap tangis dan keluhan kepada Dia, yang sanggup menyelamatkan-Nya dari maut, dan karena kesalehan-Nya Ia telah didengarkan.	E bakto Isa odhi’ e dunnya reya, Salerana adu’a ban nyo’on kalaban acerreng ban molar ka Allah, se sanggup masalamet Salerana dhari pate. Ban sarrena Salerana ta’at ka Allah kalaban hormat se tadha’ batessa, daddi Salerana epeyarsa’agi.
Dan sekalipun Ia adalah Anak, Ia telah belajar menjadi taat dari apa yang telah diderita-Nya,	Isa paneka Pottrana Allah, nangeng sanare sapaneka Salerana ajar ta’at kalaban ajalane kasangsara’anna.
dan sesudah Ia mencapai kesempurnaan-Nya, Ia menjadi pokok keselamatan yang abadi bagi semua orang yang taat kepada-Nya,	Daddi saamponna Salerana epadaddi Panyalamet se samporna, Salerana daddi somberra kasalameddan se langgeng ka sadajana oreng se ta’at ka Salerana,
dan Ia dipanggil menjadi Imam Besar oleh Allah, menurut peraturan Melkisedek.	ban Allah jugan anyata’agi Salerana menangka Imam Agung, akadi Melkisedek!
Tentang hal itu banyak yang harus kami katakan, tetapi yang sukar untuk dijelaskan, karena kamu telah lamban dalam hal mendengarkan.	Parkara kadhudhuganna Isa menangka Imam Agung, bannya’ se ekabala’a kaula ka sampeyan, nangeng malarat se nerrangngagiya sabab sampeyan ce’ lerena se ngarteya.
Sebab sekalipun kamu, ditinjau dari sudut waktu, sudah seharusnya menjadi pengajar, kamu masih perlu lagi diajarkan asas-asas pokok dari penyataan Allah, dan kamu masih memerlukan susu, bukan makanan keras.	Sanyatana ampon napa’ baktona sampeyan daddi guru, nangeng nyataepon sampeyan gi’ parlo ajar dhari oreng laen parkara sas-asas se kapeng settong e dhalem pangajaranna Allah. Sampeyan gi’ ta’ bisa narema teddha’an se gali, sampeyan gi’ kodu ngenom susu.
Sebab barangsiapa masih memerlukan susu ia tidak memahami ajaran tentang kebenaran, sebab ia adalah anak kecil.	Oreng se gi’ ngenom susu, artena gi’ babaji’, gi’ ta’ gadhuwan pangalaman parkara ponapa se bendher sareng ponapa se sala.
Tetapi makanan keras adalah untuk orang-orang dewasa, yang karena mempunyai pancaindera yang terlatih untuk membedakan yang baik dari pada yang jahat.	Teddha’an se gali kaangguy oreng se dibasa, se lantaran pangalamanna oneng abida’agi ka’imma se sae sareng ka’imma se jahat.
Sebab itu, baiklah kita waspada, supaya jangan ada seorang di antara kamu yang dianggap ketinggalan, sekalipun janji akan masuk ke dalam perhentian-Nya masih berlaku.	Janjina Allah ganeka gi’ paggun sampe’ samangken, ban sampeyan sarta kaula sadaja bakal eparengngana istirahat se ampon ejanjiyagi Salerana. Daddi tore jaga sopaja ta’ sampe’ badha e antarana sampeyan se ta’ ane’madi istirahat se ejanjiyagi ganeka.
Karena kepada kita diberitakan juga kabar kesukaan sama seperti kepada mereka, tetapi firman pemberitaan itu tidak berguna bagi mereka, karena tidak bertumbuh bersama-sama oleh iman dengan mereka yang mendengarnya.	Sabab Kabar Bagus paneka ampon eberta’agi ka sampeyan sareng kaula sadaja akadi se aberta’agi ka reng-oreng ganeka. Nangeng ka reng-oreng ganeka berta gella’ tadha’ gunana. Sabab e bakto mereng, reng-oreng ganeka ta’ parcaja.
Sebab kita yang beriman, akan masuk ke tempat perhentian seperti yang Ia katakan: "Sehingga Aku bersumpah dalam murka-Ku: Mereka takkan masuk ke tempat perhentian-Ku," sekalipun pekerjaan-Nya sudah selesai sejak dunia dijadikan.	Nangeng sampeyan sareng kaula sadaja se parcaja narema istirahat se ejanjiyagi Allah ganeka. Ganeka cocok sareng ponapa se edhabuwagi Allah, sapaneka, "Sengko’ peggel ban asompa, ‘Reng-oreng jareya ta’ kera maso’ kaangguy aistirahat abareng ban Sengko’.’" Allah adhabu kadi ganeka sanare lalakon se elampa’agi Salerana ampon lastare sajjegga Salerana nyepta’agi dunnya paneka.
Sebab tentang hari ketujuh pernah dikatakan di dalam suatu nas: "Dan Allah berhenti pada hari ketujuh dari segala pekerjaan-Nya."	Sabab parkara are se kapeng petto’, esebbuttagi sapaneka e dhalem Alketab, "E are se kapeng petto’ Allah aistirahat dhari sakabbiyanna lalakon se elampa’agi Salerana."
Dan dalam nas itu kita baca: "Mereka takkan masuk ke tempat perhentian-Ku."	Parkara ganeka etoles pole sapaneka, "Reng-oreng jareya ta’ kera maso’ ka nagara rowa kaangguy aistirahat abareng ban Sengko’."
Jadi sudah jelas, bahwa ada sejumlah orang akan masuk ke tempat perhentian itu, sedangkan mereka yang kepadanya lebih dahulu diberitakan kabar kesukaan itu, tidak masuk karena ketidaktaatan mereka.	Daddi reng-oreng se dha’-adha’ mereng Kabar Bagus ganeka, ta’ narema istirahat ganeka polana ta’ parcaja. Mon sapaneka tanto badha reng-oreng laen se olle narema istirahat ganeka.
Sebab itu Ia menetapkan pula suatu hari, yaitu "hari ini", ketika Ia setelah sekian lama berfirman dengan perantaraan Daud seperti dikatakan di atas: "Pada hari ini, jika kamu mendengar suara-Nya, janganlah keraskan hatimu!"	Sabab Allah ampon nantowagi settong are laen pole, se esebbut "Are Teya". Pan-saponapan taon saamponna ganeka Allah adhabu parkara ganeka kalaban parantara’anna Daud, e dhalem ayat se epetthek gella’, "Mon e are teya ba’na ngedhing sowarana Allah, ba’na ja’ cengkal."
Sebab, andaikata Yosua telah membawa mereka masuk ke tempat perhentian, pasti Allah tidak akan berkata-kata kemudian tentang suatu hari lain.	Ja’ sakenga Yusak ampon marenge reng-oreng ganeka istirahat se ejanjiyagi Allah, Allah ta’ kera abu-dhabu parkara are laen pole.
