Tiga tahun lamanya orang tinggal aman dengan tidak ada perang antara Aram dan Israel.	Dhu taon lebbi tadha’ perrang e antarana Isra’il ban Siria.
padahal tentang bangsa-bangsa itu TUHAN telah berfirman kepada orang Israel: "Janganlah kamu bergaul dengan mereka dan merekapun janganlah bergaul dengan kamu, sebab sesungguhnya mereka akan mencondongkan hatimu kepada allah-allah mereka." Hati Salomo telah terpaut kepada mereka dengan cinta.	PANGERAN la adhabu ja’ oreng Isra’il ta’ olle akabin campor ban sa-bangsa jareya, sabab reng-oreng manca jareya bakal daddiya lantaranna oreng Isra’il nyemba ka la’-alla’an laen. Tape Sulaiman paggun araji babine’an dhari nagara manca.
Ia mempunyai tujuh ratus isteri dari kaum bangsawan dan tiga ratus gundik; isteri-isterinya itu menarik hatinya dari pada TUHAN.	Tre-pottre kaom agung se ekaraji Sulaiman badha pettong atos oreng bannya’na, dineng sellerra badha tello ratos oreng. Ji-rajina jareya se daddi lantaranna Sulaiman loppa ka Allah,
Sebab pada waktu Salomo sudah tua, isteri-isterinya itu mencondongkan hatinya kepada allah-allah lain, sehingga ia tidak dengan sepenuh hati berpaut kepada TUHAN, Allahnya, seperti Daud, ayahnya.	sampe’ e bakto seppona babine’an jareya ahasel nyacae Sulaiman nyemba ka la’-alla’an. Daud, ramana Sulaiman, esto ka PANGERAN, Allahna, tape Sulaiman ta’ padha ban ramana.
Demikianlah Salomo mengikuti Asytoret, dewi orang Sidon, dan mengikuti Milkom, dewa kejijikan sembahan orang Amon,	Sulaiman nyemba Asytoret, diba bine’na bangsa Sidon, ban Milkom, dibana bangsa Amon.
dan Salomo melakukan apa yang jahat di mata TUHAN, dan ia tidak dengan sepenuh hati mengikuti TUHAN, seperti Daud, ayahnya.	Kalaban cara se kantha jareya Sulaiman la dusa ka PANGERAN. Daud, ramana, atoro’ ka PANGERAN sampe’ ka dhalem atena, tape Sulaiman ta’ kantha jareya.
Pada waktu itu Salomo mendirikan bukit pengorbanan bagi Kamos, dewa kejijikan sembahan orang Moab, di gunung di sebelah timur Yerusalem dan bagi Molokh, dewa kejijikan sembahan bani Amon.	E attas gunong e temorra Yerusalim Sulaiman maddek kennengnganna kabakteyan ka Kamos, dibana oreng Mo’ab, ban kennengnganna kabakteyan ka Molokh, dibana bangsa Amon — se dhadhuwa’ jareya diba se majitjidan.
Demikian juga dilakukannya bagi semua isterinya, orang-orang asing itu, yang mempersembahkan korban ukupan dan korban sembelihan kepada allah-allah mereka.	Ji-rajina se bangsa manca padha emaddeggagi bang-sebang kennengnganna ngobbar dupa ban ngatorragi kurban ka ba-dibana bang-sebang.
Sebab itu TUHAN menunjukkan murka-Nya kepada Salomo, sebab hatinya telah menyimpang dari pada TUHAN, Allah Israel, yang telah dua kali menampakkan diri kepadanya, dan yang telah memerintahkan kepadanya dalam hal ini supaya jangan mengikuti allah-allah lain, akan tetapi ia tidak berpegang pada yang diperintahkan TUHAN.	Sampe’ dhu kale PANGERAN, Allahna Isra’il, ngaton ka Sulaiman sarta maenga’ sopaja ta’ nyemba ka la’-alla’an laen, tape Sulaiman ta’ atoro’ ka PANGERAN. La’-mala’ mongkore PANGERAN, sampe’ PANGERAN duka.
Lalu berfirmanlah TUHAN kepada Salomo: "Oleh karena begitu kelakuanmu, yakni engkau tidak berpegang pada perjanjian dan segala ketetapan-Ku yang telah Kuperintahkan kepadamu, maka sesungguhnya Aku akan mengoyakkan kerajaan itu dari padamu dan akan memberikannya kepada hambamu.	Dhabuna PANGERAN ka salerana, "Sarrena ba’na e dhalem kabadha’an enga’ etengnget nerrak parjanjiyanna ban Sengko’ ban ta’ ngestowagi Tang ta-parenta, bi’ Sengko’ karaja’anna ba’na ekala’a pas ebagiya ka sala settong dhari ponggabana ba’na.
Hanya, pada waktu hidupmu ini Aku belum mau melakukannya oleh karena Daud, ayahmu; dari tangan anakmulah Aku akan mengoyakkannya.	Sanajjan kantha jareya, polana Daud ramana ba’na, jareya bi’ Sengko’ ta’ ejalannagiya teppa’na ba’na gi’ odhi’. E bakto ana’na ba’na marenta, buru Sengko’ ajalannagiya jareya.
Namun demikian, kerajaan itu tidak seluruhnya akan Kukoyakkan dari padanya, satu suku akan Kuberikan kepada anakmu oleh karena hamba-Ku Daud dan oleh karena Yerusalem yang telah Kupilih."	Tape ta’ sakabbinna karaja’anna jareya se ekala’a bi’ Sengko’ dhari ana’na ba’na jareya. Demi Daud Tang abdi, ban demi Yerusalim se bi’ Sengko’ la epadaddi Tang kottha reya, ana’na ba’na bi’ Sengko’ edina’ana bagiyan settong suku."
Kemudian TUHAN membangkitkan seorang lawan Salomo, yakni Hadad, orang Edom; ia dari keturunan raja Edom.	Daddi Hadad, toronanna rato Edom, bi’ PANGERAN epamosowan ka Rato Sulaiman.
Sesudah Daud memukul kalah orang Edom, maka panglima Yoab pergi menguburkan orang-orang yang mati terbunuh, lalu menewaskan semua laki-laki di Edom; enam bulan lamanya Yoab diam di sana dengan seluruh Israel, sampai dilenyapkannya semua laki-laki di Edom.	La abit sabellunna jareya, saellana Rato Daud matellok Edom, Yowab, panglima angkadan perrangnga Rato Daud meyos ka Edom abendhemma reng-orengnga se mate. Nem bulan abidda Yowab ban reng-orengnga neng e Edom, ban e dhalem bakto nem bulan jareya mate’e sakabbinna oreng lalake’an e jadhiya.
Tetapi Hadad melarikan diri bersama-sama dengan beberapa orang Edom dari pegawai-pegawai ayahnya, dan mengungsi ke Mesir; adapun Hadad itu masih sangat muda.	Tape Hadad se e bakto jareya gi’ ngodha, buru ka Messer abareng ban reng-oreng Edom, iya areya la-kabulana ramana.
Mereka berangkat dari Midian, lalu sampai ke Paran; mereka membawa beberapa orang dari Paran, lalu mereka sampai ke Mesir kepada Firaun, raja Mesir. Ia ini memberikan rumah kepada Hadad, menentukan belanjanya dan menyerahkan sebidang tanah kepadanya.	Se mangkat dhari Midian, terros ka Paran. E jadhiya badha reng-oreng laenna se noro’, pas padha abareng mangkat ka Messer ngadhep ratona. Bi’ rato Messer Hadad jareya eparenge bengko ban tana se daddiya kennengnganna sarta eparenge jaminan odhi’na.
Hadad demikian disayangi Firaun, sehingga diberikannya kepadanya seorang isteri, yakni adik isterinya sendiri, adik permaisuri Tahpenes.	Hadad pas akanca rapet ban rato Messer, sampe’ bi’ rato Messer, Hadad jareya eparenge eparra dibi’, iya areya ale’na din aju rato Tahpenes, epadaddi rajina.
Lalu adik Tahpenes itu melahirkan baginya seorang anak laki-laki, Genubat namanya, dan Tahpenes menyapih dia di istana Firaun, sehingga Genubat ada di istana Firaun di tengah-tengah anak-anak Firaun sendiri.	Saellana jareya rajina Hadad babar lalake’ se enyamae Genubat. Kana’ jareya eparaja bi’ din aju rato dibi’ ban epalenggi e karaton epapolong ban tra-pottrana rato.
Ketika didengar Hadad di Mesir, bahwa Daud telah mendapat perhentian bersama-sama dengan nenek moyangnya dan bahwa panglima Yoab sudah mati juga, maka berkatalah Hadad kepada Firaun: "Biarkanlah aku pergi ke negeriku."	E bakto Hadad narema kabar ja’ Rato Daud la seda, ban Yowab, panglimana angkadan perrangnga la seda keya, laju mator ka rato Messer, "Abdidalem nyo’ona edi abaliya ka nagara abdidalem."
Lalu bertanyalah Firaun kepadanya: "Tetapi kekurangan apakah engkau padaku ini, maka engkau tiba-tiba berniat pergi ke negerimu?" Jawabnya: "Aku tidak kekurangan apapun, namun demikian, biarkanlah juga aku pergi."	"Ponapa?" ca’na rato. "Ponapa e ka’dhinto sampeyan kakorangan, me’ sampe’ abaliya ka nagarana?" "Abdidalem ta’ kakorangan pa-ponapa," saodda Hadad, "namong abdidalem nyo’ona edi palemana." Daddi Hadad laju abali ka nagarana.
Allah membangkitkan pula seorang lawan Salomo, yakni Rezon bin Elyada, yang telah melarikan diri dari tuannya, yakni Hadadezer, raja Zoba.	Rezon, ana’na Elyada, bi’ Allah epamosowan ka Sulaiman keya. Rezon jareya dunor se buru dhari lorana, iya areya Rato Hadadezer dhari Zoba.
Ia mengumpulkan orang-orang, lalu menjadi kepala gerombolan. Ketika Daud hendak membunuh mereka, maka pergilah mereka ke Damsyik; mereka diam di sana dan di situlah mereka mengangkat Rezon menjadi raja.	Rato Daud tao makala Hadadezer jareya ban mate’e ca-kancana Hadadezer dhari Siria. E bakto jareya Rezon buru dhari Hadadezer pas makompol reng-oreng sarta laju ngapalae garombolan jareya. Saellana jareya laju entar ka Damsyik ban reng-orengnga, terros neng e kottha jareya. E jadhiya bi’ reng-orengnga Rezon epadaddi rato Siria.
Dialah yang menjadi lawan Israel sepanjang umur Salomo; ia mendatangkan malapetaka sama seperti Hadad. Ia muak akan orang Israel dan menjadi raja atas Aram.	Akantha Hadad, Rato Rezon ngamoso Isra’il e bakto gi’ odhi’na Sulaiman, sarta ngaco nagara jareya.
Juga Yerobeam bin Nebat, seorang Efraim dari Zereda, seorang pegawai Salomo, nama ibunya Zerua, seorang janda, memberontak terhadap raja.	Oreng laen se aberonta’ keya ka Sulaiman iya areya sala settong dhari ponggabana se anyama Yerobeyam. Yerobeyam jareya ana’na Nebat dhari Zereda e Efraim. Ebuna la randha, nyamana Zeruwa.
Inilah alasannya, mengapa ia memberontak terhadap raja: Salomo mendirikan Milo, dan ia menutup tembusan tembok kota Daud, ayahnya.	Areya’ caretana pamberontaganna Yerobeyam jareya. Sulaiman nyoro sopaja tana e bagiyan lao’na Padalemman Socce etembuk, ban pagar alassa kottha sopaja epateppa’a.
Yerobeam adalah seorang tangkas; ketika Salomo melihat, bahwa orang muda itu seorang yang rajin bekerja, maka ditempatkannyalah dia mengawasi semua pekerja wajib dari keturunan Yusuf.	Yerobeyam alako e jadhiya keya. E bakto Sulaiman ngoladi ja’ Yerobeyam reya cakang ban bajeng, pas epassrae tanggung jawab, epakon ngawase lako paksa neng e dhaerana suku Manasye ban Efraim.
Pada waktu itu, ketika Yerobeam keluar dari Yerusalem, nabi Ahia, orang Silo itu, mendatangi dia di jalan dengan berselubungkan kain baru. Dan hanya mereka berdua ada di padang.	E settong are Yerobeyam kalowar dhari Yerusalim. E tengnga lorong e talon aba’na epanggi’i Nabbi Ahiya dhari Silo, se e bakto jareya ngagem juba se anyar.
Ahia memegang kain baru yang di badannya, lalu dikoyakkannya menjadi dua belas koyakan;	Ahiya mokka’ jubana, pas ebit-sebbit sampe’ daddi dhubellas sebbidan.
dan ia berkata kepada Yerobeam: "Ambillah bagimu sepuluh koyakan, sebab beginilah firman TUHAN, Allah Israel: Sesungguhnya Aku akan mengoyakkan kerajaan itu dari tangan Salomo dan akan memberikan kepadamu sepuluh suku.	Dhabuna Ahiya ka Yerobeyam, "Se sapolo sebbidan kala’ ba’na, sabab PANGERAN, Allahna Isra’il, adhabu kantha reya ka ba’na, ‘Karaja’an reya bi’ Sengko’ ekala’a dhari Sulaiman, sapolo suku bi’ Sengko’ ebagiya ka ba’na.
Tetapi satu suku akan tetap padanya oleh karena hamba-Ku Daud dan oleh karena Yerusalem, kota yang Kupilih itu dari segala suku Israel.	Settong suku paggun ekaandhi’a Sulaiman, demi Daud Tang abdi, ban demi Yerusalim, se bi’ Sengko’ la epele dhari saantero nagara Isra’il epadaddi Tang kottha.
Sebabnya ialah karena ia telah meninggalkan Aku dan sujud menyembah kepada Asytoret, dewi orang Sidon, kepada Kamos, allah orang Moab dan kepada Milkom, allah bani Amon, dan ia tidak hidup menurut jalan yang Kutunjukkan dengan melakukan apa yang benar di mata-Ku dan dengan tetap mengikuti segala ketetapan dan peraturan-Ku, seperti Daud, ayahnya.	Bi’ Sengko’ epacara’a jareya polana Sulaiman la ta’ enga’ ka Sengko’ sarta nyemba la’-alla’an laenna, iya areya Asytoret, dewina bangsa Sidon; Kamos, dibana bangsa Mo’ab; ban Milkom, dibana bangsa Amon. Sulaiman ta’ atoro’ ka Tang parenta. Sulaiman ta’ akantha Daud ramana, se ta’at ka Sengko’ sarta atoro’ ka sakabbinna Tang parenta.
Bukan dari tangannya akan Kuambil seluruh kerajaan itu; Aku akan membiarkan dia tetap menjadi raja seumur hidupnya, oleh karena hamba-Ku Daud yang telah Kupilih dan yang tetap mengikuti segala perintah dan ketetapan-Ku.	Sanajjan cara jareya karaja’anna ta’ ekala’a kabbi ban Sengko’. Bi’ Sengko’ Sulaiman epapagguna neggu’ kakobasa’an saomorra. Sengko’ mapagguna Sulaiman neggu’ kakobasa’an jareya demi Tang abdi Daud, se la epele bi’ Sengko’ sarta se ta’at ka Tang kom-hokom ban sakabbinna Tang parenta.
Tetapi dari tangan anaknyalah Aku akan mengambil kerajaan itu dan akan memberikannya kepadamu, yakni sepuluh suku.	Karaja’an reya bi’ Sengko’ ekala’a dhari ana’na Sulaiman ban sapolo suku bi’ Sengko’ ebagiya ka ba’na.
Dan kepada anaknya akan Kuberikan satu suku, supaya hamba-Ku Daud selalu mempunyai keturunan di hadapan-Ku di Yerusalem, kota yang Kupilih bagi-Ku supaya nama-Ku tinggal di sana.	Tape settong suku se bi’ Sengko’ gi’ epapagguna ekaandhi’ ana’na, sopaja salanjangnga terrosa badha sala settong dhari toronanna Tang abdi Daud se marenta kaangguy Sengko’ e Yerusalim, kottha se bi’ Sengko’ la epele menangka kennengnganna oreng abakte ka Sengko’.
Maka engkau ini akan Kuambil, supaya engkau memerintah atas segala yang dikehendaki hatimu dan menjadi raja atas Israel.	Ban ba’na, Yerobeyam, bi’ Sengko’ epadaddiya rato Isra’il sarta ba’na olle marenta sakabbinna dhaera se ekakencengnge ba’na.
Dan jika engkau mendengarkan segala yang Kuperintahkan kepadamu dan hidup menurut jalan yang Kutunjukkan dan melakukan apa yang benar di mata-Ku dengan tetap mengikuti segala ketetapan dan perintah-Ku seperti yang telah dilakukan oleh hamba-Ku Daud, maka Aku akan menyertai engkau dan Aku akan membangunkan bagimu suatu keluarga yang teguh seperti yang Kubangunkan bagi Daud, dan Aku akan memberikan orang Israel kepadamu.	Mon ba’na akantha Tang abdi Daud rowa, ta’at onggu ka Sengko’ sarta atoro’ ka Tang kom-hokom ban masenneng Tang ate kalaban ajalannagi pa-apa se eparenta’agi Sengko’ ka ba’na, bi’ Sengko’ ba’na ebarengngana terros. Bi’ Sengko’ ba’na epadaddiya rato Isra’il. Sengko’ ajamina ja’ toronanna ba’na daddiya rato Isra’il agante ba’na, padha ban se ejalannagi Sengko’ ka Daud.
Dan untuk itu Aku akan merendahkan keturunan Daud, tetapi bukan untuk selamanya."	Polana dusana Sulaiman, Sengko’ ngokoma toronanna Daud, tape banne salanjangnga.’"
Lalu Salomo berikhtiar membunuh Yerobeam, tetapi Yerobeam bangkit dan melarikan diri ke Mesir, kepada Sisak, raja Mesir, dan di Mesirlah ia tinggal sampai Salomo mati.	E bakto meyarsa kabar jareya, Sulaiman pas aehteyar mateyana Yerobeyam. Tape Yerobeyam buru ka Rato Sisak e Messer, sarta neng e jadhiya sampe’ Sulaiman seda.
Selebihnya dari riwayat Salomo dan segala yang dilakukannya dan hikmatnya, bukankah semuanya itu tertulis dalam kitab riwayat Salomo?	Careta laenna parkara Sulaiman, iya areya parkara sabarang se la elampa’agi sarta parkara pangataowanna, kabbi la ecathet e dhalem Caretana Sulaiman.
Lamanya Salomo memerintah di Yerusalem atas seluruh Israel ialah empat puluh tahun.	Sulaiman reya marenta Isra’il neng e Yerusalim abidda pa’ polo taon.
Kemudian Salomo mendapat perhentian bersama-sama dengan nenek moyangnya, dan ia dikuburkan di kota Daud, ayahnya. Maka Rehabeam, anaknya, menjadi raja menggantikan dia.	Saellana jareya pas seda ban esareyagi e Kottha Daud, se agante daddi rato iya areya pottrana se anyama Rehabeyam.
Ketika ratu negeri Syeba mendengar kabar tentang Salomo, berhubung dengan nama TUHAN, maka datanglah ia hendak mengujinya dengan teka-teki.	Rato nagara Syeba meyarsa parkara kasohoranna Sulaiman, daddi laju meyos ka Yerusalim ngojiya Sulaiman ban partanya’an se rat-malarat.
Ia datang ke Yerusalem dengan pasukan pengiring yang sangat besar, dengan unta-unta yang membawa rempah-rempah, sangat banyak emas dan batu permata yang mahal-mahal. Setelah ia sampai kepada Salomo, dikatakannyalah segala yang ada dalam hatinya kepadanya.	Rato jareya abakta pangereng ce’ bannya’na sarta ta-onta se sarat ebuwa’i palappa, mamatan ban emmas ce’ bannya’na. E bakto apanggi ban Sulaiman, rato jareya nanya’agi partanya’an acem-macem sampe’ ta’ nemmo pole se etanya’agiya.
Dan Salomo menjawab segala pertanyaan ratu itu; bagi raja tidak ada yang tersembunyi, yang tidak dapat dijawabnya untuk ratu itu.	Partanya’an jareya esaodi kabbi bi’ Sulaiman, tadha’ se malarat monggu ka salerana.
Ketika ratu negeri Syeba melihat segala hikmat Salomo dan rumah yang telah didirikannya,	Rato Syeba meyarsa dibi’ saapa bicaksanana Sulaiman jareya; ngoladi karaton se epaddek Sulaiman,
makanan di mejanya, cara duduk pegawai-pegawainya, cara pelayan-pelayannya melayani dan berpakaian, minumannya dan korban bakaran yang biasa dipersembahkannya di rumah TUHAN, maka tercenganglah ratu itu.	tata lakona ba-ponggaba karaton ban pangangguy saragam sarta ko-bengkona. Rato Syeba ngoladi kakanan se eangka’agi, carana reng-oreng aladine e dhalem pesta, ban ban-kurban se eatorragi Sulaiman e Padalemman Socce. Ngoladi jareya kabbi rato nagara Syeba kasambu’ ban tababeggen.
Dan ia berkata kepada raja: "Benar juga kabar yang kudengar di negeriku tentang engkau dan tentang hikmatmu,	Dhabuna rato jareya ka Sulaiman, "Sadaja se ekarasan oreng e nagara kaula parkara panjennengngan sareng kabicaksana’annepon panjennengngan pajat lerres sadaja!
tetapi aku tidak percaya perkataan-perkataan itu sampai aku datang dan melihatnya dengan mataku sendiri; sungguh setengahnyapun belum diberitahukan kepadaku; dalam hal hikmat dan kemakmuran, engkau melebihi kabar yang kudengar.	Dha’-adha’na kaula ta’ parcaja, tape saamponna nyakse’e dibi’ sadajana, samangken kaula ampon yakin. Sanyatana se ecareta’agi oreng ka kaula ta’ napa’ saparona dhari se etengale kaula samangken paneka. Kabicaksana’an sareng kasogiyannepon panjennengngan ngalangkonge dhari se ecareta’agi oreng ka kaula.
Berbahagialah para isterimu, berbahagialah para pegawaimu ini yang selalu melayani engkau dan menyaksikan hikmatmu!	Pojur onggu ji-rajina panjennengngan! Pojur onggu ba-ponggaba se ngabdi ka panjennengngan salanjangnga, daddi kengeng mereng dhari panjennengngan dibi’ sadajana pangajaran se bicaksana!
Terpujilah TUHAN, Allahmu, yang telah berkenan kepadamu sedemikian, hingga Ia mendudukkan engkau di atas takhta kerajaan Israel! Karena TUHAN mengasihi orang Israel untuk selama-lamanya, maka Ia telah mengangkat engkau menjadi raja untuk melakukan keadilan dan kebenaran."	Molja onggu PANGERAN, Allahna panjennengngan! Panjennengngan epadaddi rato, ka’dhinto daddi tandha ja’ PANGERAN ce’ leburra ka panjennengngan. Panganeserra PANGERAN ka bangsa Isra’il tadha’ ambuna, kantos panjennengngan epadaddi ratona, sopaja panjennengngan bisa’a alampa’agi hokom sareng kaadilan."
Lalu diberikannyalah kepada raja seratus dua puluh talenta emas, dan sangat banyak rempah-rempah dan batu permata yang mahal-mahal; tidak pernah datang lagi begitu banyak rempah-rempah seperti yang diberikan ratu negeri Syeba kepada raja Salomo itu.	Saellana jareya rato nagara Syeba ngatorragi le-ollena ka Sulaiman, aropa emmas lebbi dhari pa’ ebu kilo, mamatan ban palappa. Saomorra Sulaiman ta’ tao narema palappa se bannya’na padha ban le-ollena rato nagara Syeba jareya.
Lagipula kapal-kapal Hiram, yang mengangkut emas dari Ofir, membawa dari Ofir sangat banyak kayu cendana dan batu permata yang mahal-mahal.	(Pal-kapalla Hiram se ngeba le-olle emmas dhari Ofir kaSulaiman, ngeba keya mamatan ban kaju candhana ce’ bannya’na.
Raja mengerjakan kayu cendana itu menjadi langkan untuk rumah TUHAN dan untuk istana raja, dan juga menjadi kecapi dan gambus untuk para penyanyi; kayu cendana seperti itu tidak datang dan tidak kelihatan lagi sampai hari ini.	Kaju jareya bi’ Sulaiman ebadhi ca’-raca’na Padalemman Socce ban karaton kalenggiyanna rato; bariya keya kaangguy calempong ban gambus se eangguya para panyanye. Ju-kaju jareya kaju candhana se paleng bagus se tao epadhateng ka Isra’il; saellana jareya oreng Isra’il ta’ tao nangale’e pole kaju se bagussa kantha jareya.)
Raja Salomo memberikan kepada ratu negeri Syeba segala yang dikehendakinya dan yang dimintanya, selain apa yang telah diberikannya kepadanya sebagaimana layak bagi raja Salomo. Lalu ratu itu berangkat pulang ke negerinya bersama-sama dengan pegawai-pegawainya.	Laen dhari hadiya acem-macem se biyasana eparengngagi bi’ Sulaiman, rato nagara Syeba jareya eparenge keya sabarang apa’a bai menorot pamentana. Saellana jareya rato nagara Syeba gubar ka nagarana ban para pangerengnga.
Adapun emas, yang dibawa kepada Salomo dalam satu tahun ialah seberat enam ratus enam puluh enam talenta,	Sabban taonna Rato Sulaiman narema emmas se bannya’na para’ tello lekor ebu kilo,
belum terhitung yang didapat dari saudagar-saudagar dan dari pedagang-pedagang dan dari semua raja Arab dan bupati-bupati di negeri itu.	gi’ ta’ kaetong kaontonganna pardagangan, pajegga para sodagar, to-rato Arab ban nor-gubennor Ira’il.
Raja Salomo membuat dua ratus perisai besar dari emas tempaan, enam ratus syikal emas dipakainya untuk setiap perisai besar;	Sulaiman abadhi tameng ja-raja dhari emmas tempa’an bannya’na dhu ratos meggi’. Bannya’na emmas se ekagabay sabban settong tameng korang lebbi pettong kilo.
ia membuat juga tiga ratus perisai kecil dari emas tempaan, tiga mina emas dipakainya untuk setiap perisai kecil; lalu raja menaruh semuanya itu di dalam gedung "Hutan Libanon".	Laen dhari jareya Sulaiman abadhi keya tameng se akene’an dhari emmas tempa’an keya, bannya’na tello ratos meggi’. Bannya’na emmas se ekagabay sabban settong tameng ra-kera dhu kilo. Meng-tameng jareya esaba’ e mandhapa se anyama Mandhapa Alas Libanon.
Juga raja membuat takhta besar dari gading, yang disalutnya dengan emas tua.	Sulaiman abadhi keya korse karaja’an se raja se ekole’e gaddhingnga gaja ban epasange rarenggan dhari emmas morne.
Takhta itu enam tingkatnya; pada takhta itu ada di sebelah belakang sebuah kepala bundar, dan pada kedua sisi tempat duduk ada kelek-kelek. Di samping kelek-kelek itu berdiri dua singa,	Korse jareya epasange lengngen, ban e kangan kacerra epobuwi arcana macan. E budhiyanna korse jareya epasange arcana cethagga sape. Korse jareya ngangguy dhak-ondhak, bannya’na dhak-ondhagga nem-ennem.
sedang dua belas singa berdiri di atas keenam tingkat itu sebelah-menyebelah; belum pernah diperbuat yang demikian bagi sesuatu kerajaan.	E konco’ kacerra ban e konco’ kanganna sabban ondhak badha arcana macan — kabbi badha dhubellas meggi’. Ta’ tao badha korse karaja’an se kantha jareya e karaton dhimma’a bai.
Segala perkakas minuman raja Salomo dari emas dan segala barang di gedung "Hutan Libanon" itu dari emas murni; tidak ada barang perak, sebab orang menganggap perak tidak berharga pada zaman Salomo.	Pakakas se eangguy ngenom Sulaiman dhari emmas kabbi, ban pakakas se badha e Mandhapa Alas Libanon dhari emas morne kabbi. Tadha’ se ekagabaya dhari salaka, sabab e jamanna Sulaiman oreng nganggep salaka tadha’ argana.
Sebab di laut raja mempunyai kapal-kapal Tarsis bergabung dengan kapal-kapal Hiram; dan sekali tiga tahun kapal-kapal Tarsis itu datang membawa emas dan perak serta gading; juga kera dan burung merak.	Sulaiman kaagungan kapal ja-raja sabannya’na se alajar abareng ban pal-kapalla Rato Hiram. Tello taon sakaleyan pal-kapal jareya abali ngeba emmas, salaka, gaddhing, mothak ban mano’ merrak.
Raja Salomo melebihi semua raja di bumi dalam hal kekayaan dan hikmat.	Rato Sulaiman asogiyan ban abicaksana’an dhari rato se kemma’a bai e dunnya reya.
Seluruh bumi berikhtiar menghadap Salomo untuk menyaksikan hikmat yang telah ditaruh Allah di dalam hatinya.	Reng-oreng sadunnya padha aehteyar kabbi baramma se tatemmowa ban Sulaiman parlo ngedhingngagiya pangajaranna se bicaksana se eparengngagi Allah ka salerana.
Mereka datang masing-masing membawa persembahannya, yakni barang-barang perak dan barang-barang emas, pakaian, senjata, rempah-rempah, kuda dan bagal, dan begitulah tahun demi tahun.	Reng-oreng jareya dhateng ngeba le-olle bang-sebang ka Sulaiman. Badha se ngeba le-olle rang-barang dhari salaka, emmas, kalambi, sanjata, palappa, jaran ban jaran buwadan. Kantha jareya dhari taon ka taon.
Salomo mengumpulkan juga kereta dan orang berkuda, sehingga ia mempunyai seribu empat ratus kereta dan dua belas ribu orang berkuda, yang semuanya ditempatkan dalam kota-kota kereta dan dekat raja di Yerusalem.	Sulaiman abadhi angkadan perrang se kadaddiyan dhari saebu pa’ ratos kareta perrang ban dhubellas ebu tantara jaran. Sabagiyan esaba’ e Yerusalim ban lebbina esaba’ e tha-kottha laenna.
Raja membuat banyaknya perak di Yerusalem sama seperti batu, dan banyaknya pohon kayu aras sama seperti pohon ara yang tumbuh di Daerah Bukit.	E dhalem jamanna pamarenta’anna Sulaiman, e Yerusalim salaka reya eanggep barang biyasa akantha bato, ban kaju comara Libanon ce’ bannya’na akantha kaju ara biyasa.
Kuda untuk Salomo didatangkan dari Misraim dan dari Kewe; saudagar-saudagar raja membelinya dari Kewe dengan harga pasar.	Kalaban parantara’anna pangusaha-pangusahana rato, jaran epadhateng dhari Messer ban Kilikiya,
Sebuah kereta yang didatangkan dari Misraim berharga sampai enam ratus syikal perak, dan seekor kuda sampai seratus lima puluh syikal; dan begitu juga melalui mereka dikeluarkan semuanya itu kepada semua raja orang Het dan kepada raja-raja Aram.	ban ta-kareta perrang epadhateng dhari Messer. Argana jaran settong saratos saeket pesse salaka, ban argana kareta perrang nem atos pesse salaka. Saellana jareya kalaban parantara’anna pangusaha-pangusaha jareya keya, ran-jaran ban ta-kareta perrang jareya ejuwal pole ka to-rato Het ban to-rato Siria.
Ketika Salomo selesai mendirikan rumah TUHAN dan istana raja dan membuat segala yang diinginkannya,	Saellana Sulaiman mare se maddek Padalemman Socce ban karaton sarta sabarang se daddi rancanana,
maka TUHAN menampakkan diri kepada Salomo untuk kedua kalinya seperti Ia sudah menampakkan diri kepadanya di Gibeon.	PANGERAN pas ngaton pole ka Sulaiman akantha se neng e Gibeyon.
Firman TUHAN kepadanya: "Telah Kudengar doa dan permohonanmu yang kausampaikan ke hadapan-Ku; Aku telah menguduskan rumah yang kaudirikan ini untuk membuat nama-Ku tinggal di situ sampai selama-lamanya, maka mata-Ku dan hati-Ku akan ada di situ sepanjang masa.	Dhabuna PANGERAN ka Sulaiman, "Sengko’ la ngedhing ka du’ana ba’na, ban padalemman se la epaddek bi’ ba’na reya bi’ Sengko’ enyata’agi menangka kennengngan se malolo kaangguy abakte ka Sengko’ salanjangnga. Bi’ sengko’ kennengngan reya ejaga’a salanjangnga.
Mengenai engkau, jika engkau hidup di hadapan-Ku sama seperti Daud, ayahmu, dengan tulus hati dan dengan benar, dan berbuat sesuai dengan segala yang Kuperintahkan kepadamu, dan jika engkau tetap mengikuti segala ketetapan dan peraturan-Ku,	Mon ba’na ngabdi ka Sengko’ kalaban ate se ehlas tor jujur padha ban ramana ba’na Daud, sarta ba’na ta’at ka sakabbinna Tang hokom ban Tang parenta,
maka Aku akan meneguhkan takhta kerajaanmu atas Israel untuk selama-lamanya seperti yang telah Kujanjikan kepada Daud, ayahmu, dengan berkata: Keturunanmu takkan terputus dari takhta kerajaan Israel.	Sengko’ neptebbana Tang janji ka Daud ramana ba’na, iya areya ja’ na’ potona ba’na ron-temoron bakal terrosa marenta Isra’il.
