Pada mulanya Allah menciptakan langit dan bumi.	E bakto Allah nyepta’agi alam dunnya,
Firman TUHAN kepadanya: "Dua bangsa ada dalam kandunganmu, dan dua suku bangsa akan berpencar dari dalam rahimmu; suku bangsa yang satu akan lebih kuat dari yang lain, dan anak yang tua akan menjadi hamba kepada anak yang muda."	Dhabuna PANGERAN ka babine’ jareya, "E dhalem tabu’na ba’na badha bangsa dhadhuwa’; bangsa se dhadhuwa’ jareya amosowan; se settong akowadan dhari settonganna; se towa’an bakal daddiya abdina se ngodha’an."
Setelah genap harinya untuk bersalin, memang anak kembar yang di dalam kandungannya.	Saellana napa’ baktona, Ribka babar kembar lalake’ kabbi dhadhuwa’.
Keluarlah yang pertama, warnanya merah, seluruh tubuhnya seperti jubah berbulu; sebab itu ia dinamai Esau.	Se sareyang kole’na abak mera, akantha juba se ekagabay dhari kaen se abulu, daddi kana’ jareya enyamae Esau.
Sesudah itu keluarlah adiknya; tangannya memegang tumit Esau, sebab itu ia dinamai Yakub. Ishak berumur enam puluh tahun pada waktu mereka lahir.	Saellana jareya pas kalowar se ngodha’an. E bakto babaji’ se nomer dhuwa’ jareya kalowar, tanangnga neggu’i tombedda Esau ce’ sekkenna, daddi kana’ jareya laju enyamae Yakub. E bakto kana’ se kadhuwa jareya lahir, yuswana Ishak sabidak taon.
Lalu bertambah besarlah kedua anak itu: Esau menjadi seorang yang pandai berburu, seorang yang suka tinggal di padang, tetapi Yakub adalah seorang yang tenang, yang suka tinggal di kemah.	Na’-kana’ se kadhuwa jareya atamba raja. Esau daddi panganjur, ce’ penterra ababurun, lebur enneng e lon-talon ban e ra-ara. Dineng Yakub orengnga anteng ban aleburan enneng e bengkona.
Ishak sayang kepada Esau, sebab ia suka makan daging buruan, tetapi Ribka kasih kepada Yakub.	Ishak aneserran ka Esau polana Ishak dujan ka daging ollena Esau ababurun, tape Ribka aneserran ka Yakub.
Pada suatu kali Yakub sedang memasak sesuatu, lalu datanglah Esau dengan lelah dari padang.	E settong are, teppa’na Yakub aola kacang mera, Esau dhateng dhari ababurun. Tabu’na lapar,
Kata Esau kepada Yakub: "Berikanlah kiranya aku menghirup sedikit dari yang merah-merah itu, karena aku lelah." Itulah sebabnya namanya disebutkan Edom.	laju ngoca’ ka Yakub, "Sengko’ ce’ laparra. Mara, ra, sengko’ menta’a kacang merana sakone’." Lantaran jareya Esau enyamae Edom.
Tetapi kata Yakub: "Juallah dahulu kepadaku hak kesulunganmu."	Saodda Yakub, "Iya, mara, tape bagi ka sengko’ gallu ha’ sareyangnga ba’na."
Sahut Esau: "Sebentar lagi aku akan mati; apakah gunanya bagiku hak kesulungan itu?"	Ca’na Esau, "Iya, mara. Sengko’ ce’ laparra, kantha se mateya rassana. Apa gunana ha’ sareyang jareya ka sengko’?"
Kata Yakub: "Bersumpahlah dahulu kepadaku." Maka bersumpahlah ia kepada Yakub dan dijualnyalah hak kesulungannya kepadanya.	Oca’na Yakub, "Mara asompa gallu." Esau asompa, ha’ sareyangnga ebagi ka Yakub.
Lalu Yakub memberikan roti dan masakan kacang merah itu kepada Esau; ia makan dan minum, lalu berdiri dan pergi. Demikianlah Esau memandang ringan hak kesulungan itu.	Bi’ Yakub Esau eberri’i roti ban essop kacang merana. Esau ngakan ban ngenom, saellana jareya laju ondur. Daddi Esau nganggep ha’ sareyang jareya tadha’ gunana.
Maka timbullah kelaparan di negeri itu, Ini bukan kelaparan yang pertama, yang telah terjadi dalam zaman Abraham. Sebab itu Ishak pergi ke Gerar, kepada Abimelekh, raja orang Filistin.	E jaman jareya laju badha laep pole akantha gi’ jamanna Ibrahim. Ishak ngadhep ka Abimelekh, ratona oreng Filistin, e Gerar, laju nyo’on edi alenggiya e jadhiya.
Lalu TUHAN menampakkan diri kepadanya serta berfirman: "Janganlah pergi ke Mesir, diamlah di negeri yang akan Kukatakan kepadamu.	Kan nyo’on kantha jareya polana PANGERAN ngaton ka salerana laju adhabu, "Ba’na ja’ entar ka Messer; neng e nagara reya bai, kantha se la eparenta’agi Sengko’ ka ba’na.
Tinggallah di negeri ini sebagai orang asing, maka Aku akan menyertai engkau dan memberkati engkau, sebab kepadamulah dan kepada keturunanmu akan Kuberikan seluruh negeri ini, dan Aku akan menepati sumpah yang telah Kuikrarkan kepada Abraham, ayahmu.	Sengko’ ajaga’a ban aberkadana ba’na. Tana reya bi’ Sengko’ ebagiya ka ba’na ban na’ potona. Sengko’ neptebbana Tang janji ka Ibrahim ramana ba’na.
aku akan membuat banyak keturunanmu seperti bintang di langit; Aku akan memberikan kepada keturunanmu seluruh negeri ini, dan oleh keturunanmu semua bangsa di bumi akan mendapat berkat,	Sengko’ aberri’a ka ba’na toronan sabannya’na, akantha bannya’na bintang e langnge’, ban sakabbinna tana reya bi’ Sengko’ ebagiya ka toronanna ba’na jareya. Sakabbinna bangsa e bume bakal nyo’ona ka Sengko’ sopaja bi’ Sengko’ eberkadana epakantha toronanna ba’na.
karena Abraham telah mendengarkan firman-Ku dan memelihara kewajibannya kepada-Ku, yaitu segala perintah, ketetapan dan hukum-Ku."	Sengko’ aberkadana ba’na, polana Ibrahim ngestowagi Tang parenta ban neggu’i sakabbinna Tang hokom ban Tang parenta."
Jadi tinggallah Ishak di Gerar.	Daddi Ishak laju alenggi e Gerar.
Ketika orang-orang di tempat itu bertanya tentang isterinya, berkatalah ia: "Dia saudaraku," sebab ia takut mengatakan: "Ia isteriku," karena pikirnya: "Jangan-jangan aku dibunuh oleh penduduk tempat ini karena Ribka, sebab elok parasnya."	E bakto reng-oreng e jadhiya nanya’agi Ribka, Ishak adhabu ja’ Ribka jareya ale’na, banne rajina. Ishak tako’ epate’e bi’ reng-oreng jareya polana terro ngaandhi’a Ribka se raddin.
Setelah beberapa lama ia ada di sana, pada suatu kali menjenguklah Abimelekh, raja orang Filistin itu dari jendela, maka dilihatnya Ishak sedang bercumbu-cumbuan dengan Ribka, isterinya.	Saellana Ishak abak abit se alenggi e jadhiya, e settong are Rato Abimelekh ngoladi ka baba dhari candhelana, laju ngoladi Ishak teppa’na neng-sennengngan bi’ Ribka.
Lalu Abimelekh memanggil Ishak dan berkata: "Sesungguhnya dia isterimu, masakan engkau berkata: Dia saudaraku?" Jawab Ishak kepadanya: "Karena pikirku: Jangan-jangan aku mati karena dia."	Daddi Abimelekh laju adikane Ishak, sarta adhabu, "Daddi babine’ ganeka rajina sampeyan! Aponapa sampeyan me’ adhabu ale’na?" Dhabuna Ishak, "Ca’epon abdidalem tako’ abdidalem me’ epate’e manabi mator ja’ ka’dhinto raji abdidalem."
Tetapi Abimelekh berkata: "Apakah juga yang telah kauperbuat ini terhadap kami? Mudah sekali terjadi, salah seorang dari bangsa ini tidur dengan isterimu, sehingga dengan demikian engkau mendatangkan kesalahan atas kami."	Sampeyan me’ sapaneka ka bangsa kaula? dhabuna Abimelekh. "Sala settong e antarana ra’yat kaula bisa saos tedhung apolong sareng rajina sampeyan ganeka, manabi kantos kadaddiyan sapaneka, ganeka salana sampeyan, banne salana bangsa kaula."
Lalu Abimelekh memberi perintah kepada seluruh bangsa itu: "Siapa yang mengganggu orang ini atau isterinya, pastilah ia akan dihukum mati."	Abimelekh laju maenga’ sakabbinna ra’yadda, dhabuna, "Pa’-sapa’a se la-nyala ka oreng reya otaba ka rajina, bi’ sengko’ eokoma mate."
Maka menaburlah Ishak di tanah itu dan dalam tahun itu juga ia mendapat hasil seratus kali lipat; sebab ia diberkati TUHAN.	Ishak nabur bibit e tana jareya, ban saellana olle sataon hasella saratos kalena se etamen, sabab eberkadi bi’ PANGERAN.
Dan orang itu menjadi kaya, bahkan kian lama kian kaya, sehingga ia menjadi sangat kaya.	Ishak sajan sogi sarta pas daddi ce’ sogina.
Ia mempunyai kumpulan kambing domba dan lembu sapi serta banyak anak buah, sehingga orang Filistin itu cemburu kepadanya.	Ishak ekabaji’i bi’ oreng Filistin polana bannya’ dunorra, bannya’ dumbana ban sapena.
Segala sumur, yang digali dalam zaman Abraham, ayahnya, oleh hamba-hamba ayahnya itu, telah ditutup oleh orang Filistin dan ditimbun dengan tanah.	Daddi mor-somor se ekale bi’ nor-dunorra Ibrahim gi’ odhi’na laju etotobi tana kabbi bi’ reng-oreng Filistin.
Lalu kata Abimelekh kepada Ishak: "Pergilah dari tengah-tengah kami sebab engkau telah menjadi jauh lebih berkuasa dari pada kami."	Abimelekh laju adhabu ka Ishak, "Sampeyan tore nyengla dhari ka’iya. Sampeyan samangken akobasa’an dhari bangsa kaula."
Jadi pergilah Ishak dari situ dan berkemahlah ia di lembah Gerar, dan ia menetap di situ.	Daddi Ishak nyengla dhari tana jareya, laju akemah e Cora Gerar, sarta alenggi e jadhiya abak abit.
Kemudian Ishak menggali kembali sumur-sumur yang digali dalam zaman Abraham, ayahnya, dan yang telah ditutup oleh orang Filistin sesudah Abraham mati; disebutkannyalah nama sumur-sumur itu menurut nama-nama yang telah diberikan oleh ayahnya.	Mor-somor se ekale gi’ jamanna Ibrahim, se etotobi tana bi’ reng-oreng Filistin satadha’na Ibrahim, bi’ Ishak laju ekale pole. Mor-somor jareya paggun enyamae akantha se enyama’agi bi’ ramana.
Ketika hamba-hamba Ishak menggali di lembah itu, mereka mendapati di situ mata air yang berbual-bual airnya.	E bakto la-kabulana Ishak ngale somor e Cora Gerar jareya laju nemmo somber se ce’ lebburra.
Lalu bertengkarlah para gembala Gerar dengan para gembala Ishak. Kata mereka: "Air ini kepunyaan kami." Dan Ishak menamai sumur itu Esek, karena mereka bertengkar dengan dia di sana.	Tape reng-oreng ngowan Gerar atokar ban reng-oreng ngowanna Ishak. Ca’na reng-oreng ngowan jareya, "Aeng reya tang andhi’." Daddi bi’ Ishak somor jareya enyamae Esek, artena "Tokar".
Kemudian mereka menggali sumur lain, dan mereka bertengkar juga tentang itu. Maka Ishak menamai sumur itu Sitna.	La-kabulana Ishak ngale somor laenna, tape pas daddi tokar pole. Daddi somor jareya bi’ Ishak enyamae Sitna, artena "Parmosowan".
Ia pindah dari situ dan menggali sumur yang lain lagi, tetapi tentang sumur ini mereka tidak bertengkar. Sumur ini dinamainya Rehobot, dan ia berkata: "Sekarang TUHAN telah memberikan kelonggaran kepada kita, sehingga kita dapat beranak cucu di negeri ini."	Saellana jareya Ishak ngalle dhari jadhiya, laju ngale somor pole. Se jareya ta’ daddi tokar. Daddi somor jareya bi’ Ishak enyamae Rehobot, artena "Kabebasan". Dhabuna, "Sateya sengko’ ban ba’na bi’ PANGERAN eparenge kabebasan neng e nagara reya, e dhinna’ sengko’ ban ba’na bakal ma’mora."
Dari situ ia pergi ke Bersyeba.	Saellana jareya Ishak meyos ka Bersyeba.
Lalu pada malam itu TUHAN menampakkan diri kepadanya serta berfirman: "Akulah Allah ayahmu Abraham; janganlah takut, sebab Aku menyertai engkau; Aku akan memberkati engkau dan membuat banyak keturunanmu karena Abraham, hamba-Ku itu."	E malem jareya PANGERAN ngaton sarta adhabu, "Sengko’ reya Allahna ramana ba’na Ibrahim. Ba’na ja’ tako’; Sengko’ alindhunge ba’na. Sengko’ aberkadana ba’na ban ba’na bi’ Sengko’ eberri’ana toronan sabannya’na lantaran Tang janji ka Tang abdi Ibrahim."
Sesudah itu Ishak mendirikan mezbah di situ dan memanggil nama TUHAN. Ia memasang kemahnya di situ, lalu hamba-hambanya menggali sumur di situ.	Ishak laju abadhi mezba, pas abakte ka PANGERAN e kennengngan jareya. Ishak akemah e jadhiya, dineng di-abdina laju ngale somor laen.
Datanglah Abimelekh dari Gerar mendapatkannya, bersama-sama dengan Ahuzat, sahabatnya, dan Pikhol, kepala pasukannya.	E settong are Abimelekh rabu dhari Gerar manggiyana Ishak, asareng ban Ahuzat, panasehadda, ban Pikhol, panglimana tantarana.
Tetapi kata Ishak kepada mereka: "Mengapa kamu datang mendapatkan aku? Bukankah kamu benci kepadaku, dan telah menyuruh aku keluar dari tanahmu?"	Dhabuna Ishak, "Aponapa samangken sampeyan me’ padha manggi’i kaula, mangkana gi’ dhimen kaula ekamoso sareng etondhung dhari nagarana sampeyan?"
Jawab mereka: "Kami telah melihat sendiri, bahwa TUHAN menyertai engkau; sebab itu kami berkata: baiklah kita mengadakan sumpah setia, antara kami dan engkau; dan baiklah kami mengikat perjanjian dengan engkau,	Saodda reng-oreng jareya, "Samangken kaula oneng ja’ sampeyan elindhunge sareng PANGERAN; daddi noro’ manggi kaula langkong sae kaula sareng sampeyan mabadha parjanjiyan. Ngereng sampeyan asompa
bahwa engkau tidak akan berbuat jahat kepada kami, seperti kami tidak mengganggu engkau, dan seperti kami semata-mata berbuat baik kepadamu dan membiarkan engkau pergi dengan damai; bukankah engkau sekarang yang diberkati TUHAN."	ja’ sampeyan ta’ alakowa juba’ ka bangsa kaula, pakadi kaula sadaja se ta’ oneng alako juba’ ka sampeyan. Bangsa kaula ampon sae ka sampeyan, sampeyan eedine ngalle kalaban taremtem. Ampon terrang ka kaula ja’ sampeyan eberkadi PANGERAN."
Kemudian Ishak mengadakan perjamuan bagi mereka, lalu mereka makan dan minum.	Saellana jareya reng-oreng buru bi’ Ishak eka’-angka’e, kabbi pas padha adha’ar ban nom-ngenom.
Keesokan harinya pagi-pagi bersumpah-sumpahanlah mereka. Kemudian Ishak melepas mereka, dan mereka meninggalkan dia dengan damai.	Kalagguwanna gu-laggu se kadhuwa jareya padha adhabuwagi janjina se eessa’agi ban sompa. Ishak laju ngater tamoyya, ban saellana jareya se kadhuwa laju apesa menangka oreng se akanca.
Pada hari itu datanglah hamba-hamba Ishak memberitahukan kepadanya tentang sumur yang telah digali mereka, serta berkata kepadanya: "Kami telah mendapat air."	E are jareya keya la-kabulana Ishak dhateng ngatore oneng parkara somor se la ekale. Atorra, "Abdina ampon manggi somber."
Lalu dinamainyalah sumur itu Syeba. Sebab itu nama kota itu adalah Bersyeba, sampai sekarang.	Somor jareya bi’ Ishak laju enyamae Syeba, artena "Sompa". Jareya asal molana kottha jareya enyamae Bersyeba.
Ketika Esau telah berumur empat puluh tahun, ia mengambil Yudit, anak Beeri orang Het, dan Basmat, anak Elon orang Het, menjadi isterinya.	E bakto aomor pa’ polo taon, Esau araji babine’ kadhuwa Elon.
Kedua perempuan itu menimbulkan kepedihan hati bagi Ishak dan bagi Ribka.	Babine’ se kadhuwa jareya masossa odhi’na Ishak ban Ribka
Ketika Ishak sudah tua, dan matanya telah kabur, sehingga ia tidak dapat melihat lagi, dipanggilnyalah Esau, anak sulungnya, serta berkata kepadanya: "Anakku." Sahut Esau: "Ya, bapa."	Ishak la seppo tor buta. E settong are Esau, pottrana se sareyang, edikane, dhabuna, "Na’!" Saodda Esau, "Ponapa, Pa’?"
Berkatalah Ishak: "Lihat, aku sudah tua, aku tidak tahu bila hari kematianku.	Dhabuna Ishak, "Ba’na tao sengko’ la towa, ta’ etemmo bila se mateya.
Maka sekarang, ambillah senjatamu, tabung panah dan busurmu, pergilah ke padang dan burulah bagiku seekor binatang;	Daddi kassa’ kala’ pana ban gandhibana, pas mangkat ka alas, nyare keban.
olahlah bagiku makanan yang enak, seperti yang kugemari, sesudah itu bawalah kepadaku, supaya kumakan, agar aku memberkati engkau, sebelum aku mati."	Ollena pas ola panyaman, kantha jan-dujananna sengko’ rowa. Mon la massa’ giba dha’ enna’. Mon bi’ sengko’ la mare ekakan, bi’ sengko’ ba’na pas eberkadana, pongpong sengko’ gi’ ta’ mate."
Tetapi Ribka mendengarkannya, ketika Ishak berkata kepada Esau, anaknya. Setelah Esau pergi ke padang memburu seekor binatang untuk dibawanya kepada ayahnya,	Teppa’na Ishak abu-dhabu ka Esau, Ribka meyarsa’agi. Daddi e bakto Esau mangkat aburuwa keban ka alas,
berkatalah Ribka kepada Yakub, anaknya: "Telah kudengar ayahmu berkata kepada Esau, kakakmu:	Ribka adhabu ka Yakub, "Gi’ buru sengko’ ngedhing eppa’na adhabu kantha reya ka Esau,
Bawalah bagiku seekor binatang buruan dan olahlah bagiku makanan yang enak, supaya kumakan, dan supaya aku memberkati engkau di hadapan TUHAN, sebelum aku mati.	‘Kassa’ entar aburu, dagingnga ola panyaman, bagi ka sengko’. Mon bi’ sengko’ la mare ekakan, bi’ sengko’ ba’na eberkadana e ajunanna PANGERAN sabellunna sengko’ mate.’
Maka sekarang, anakku, dengarkanlah perkataanku seperti yang kuperintahkan kepadamu.	Sateya Na’, edhingngagi tang caca reya, ban toro’ pagu-onggu.
Pergilah ke tempat kambing domba kita, ambillah dari sana dua anak kambing yang baik, maka aku akan mengolahnya menjadi makanan yang enak bagi ayahmu, seperti yang digemarinya.	Kassa’ ba’na entar ka kennengnganna ebinna eppa’na, ngala’ budhu’na embi’ se lempo dhadhuwa’. Bi’ sengko’ eola’agiya jan-dujananna eppa’na.
Bawalah itu kepada ayahmu, supaya dimakannya, agar dia memberkati engkau, sebelum ia mati."	Mon la mare pas giba ka eppa’na, soro dha’ar. Saellana jareya tanto ba’na bi’ eppa’na eberkadi sabellunna seda."
Lalu kata Yakub kepada Ribka, ibunya: "Tetapi Esau, kakakku, adalah seorang yang berbulu badannya, sedang aku ini kulitku licin.	Yakub mator ka ebuna, "Kadi ponapa, ja’ reng badanna Esau abulu, kaula bunten.
Mungkin ayahku akan meraba aku; maka nanti ia akan menyangka bahwa aku mau memperolok-olokkan dia; dengan demikian aku akan mendatangkan kutuk atas diriku dan bukan berkat."	Olle daddi eppa’ agagap ka kaula, tanto sareng eppa’ kaula esanggu co-ngoco; dhaggi’ kaula la’-mala’ ebasto, banne eberkadi."
Tetapi ibunya berkata kepadanya: "Akulah yang menanggung kutuk itu, anakku; dengarkan saja perkataanku, pergilah ambil kambing-kambing itu."	Dhabuna ebuna, "Dina sengko’ se nanggunga babaston jareya Na’. Lakone bai apa tang oca’. Kassa’ ngala’ budhu’na embi’ jareya."
Lalu ia pergi mengambil kambing-kambing itu dan membawanya kepada ibunya; sesudah itu ibunya mengolah makanan yang enak, seperti yang digemari ayahnya.	Daddi Yakub pas ngala’ budhu’na embi’ dhadhuwa’, eatorragi ka ebuna; Bi’ ebuna laju eola, jan-dujananna Ishak.
Kemudian Ribka mengambil pakaian yang indah kepunyaan Esau, anak sulungnya, pakaian yang disimpannya di rumah, lalu disuruhnyalah dikenakan oleh Yakub, anak bungsunya.	Saellana jareya Ribka mondhut kalambina Esau se paleng bagus se esaba’ e bengkona, laju eangguyyagi ka Yakub.
Dan kulit anak kambing itu dipalutkannya pada kedua tangan Yakub dan pada lehernya yang licin itu.	Kole’na embi’ gella’ ebetbeddagi ka lengngenna Yakub ban ka bagiyanna le’erra se ta’ abulu.
Lalu ia memberikan makanan yang enak dan roti yang telah diolahnya itu kepada Yakub, anaknya.	La’-ola’anna se nyaman jareya ebagi ka Yakub, epapolong ban roti gabayanna dibi’.
Demikianlah Yakub masuk ke tempat ayahnya serta berkata: "Bapa!" Sahut ayahnya: "Ya, anakku; siapakah engkau?"	Yakub entar ka eppa’na, laju ngoca’, "Pa’." Saodda Ishak, "Apa, sapa ba’na reya?"
Kata Yakub kepada ayahnya: "Akulah Esau, anak sulungmu. Telah kulakukan, seperti yang bapa katakan kepadaku. Bangunlah, duduklah dan makanlah daging buruan masakanku ini, agar bapa memberkati aku."	Saodda Yakub, "Kaula Esau, Pa’, pottra sareyangnga sampeyan. Pessennanna sampeyan ampon lastare. Ngereng alenggi, paneka’ dha’ar daging ollena kaula se ababurun, ampon eola. Ngereng dha’ar, pas berkadi kaula."
Lalu Ishak berkata kepada anaknya itu: "Lekas juga engkau mendapatnya, anakku!" Jawabnya: "Karena TUHAN, Allahmu, membuat aku mencapai tujuanku."	Dhabuna Ishak, "Me’ ce’ lekkassa ba’na olle keban buruwan?" Saodda Yakub, "PANGERAN, Allahna sampeyan se abanto kaula."
Lalu kata Ishak kepada Yakub: "Datanglah mendekat, anakku, supaya aku meraba engkau, apakah engkau ini anakku Esau atau bukan."	Dhabuna Ishak, "Mara dha’ enna’an, Na’, me’ olle sengko’ ngenneng agagap ba’na. Sengko’ terro taowa apa ba’na reya Esau ongguwan apa enja’."
Maka Yakub mendekati Ishak, ayahnya, dan ayahnya itu merabanya serta berkata: "Kalau suara, suara Yakub; kalau tangan, tangan Esau."	Yakub nyander ka seddi’na eppa’na. Bi’ eppa’na pas egagap. "Sowarana akantha Yakub, tape lengngenna Esau," dhabuna Ishak.
Jadi Ishak tidak mengenal dia, karena tangannya berbulu seperti tangan Esau, kakaknya. Ishak hendak memberkati dia,	Ishak ta’ ngagali ja’ jareya Yakub sabab lengngenna abulu akantha lengngenna Esau. Ishak para’ aberkadana Yakub,
tetapi ia masih bertanya: "Benarkah engkau ini anakku Esau?" Jawabnya: "Ya!"	tape pas mangmang, daddi atanya pole, "Ba’na reya Esau ongguwan, ya?" Saodda Yakub, "Enggi."
Lalu berkatalah Ishak: "Dekatkanlah makanan itu kepadaku, supaya kumakan daging buruan masakan anakku, agar aku memberkati engkau." Jadi didekatkannyalah makanan itu kepada ayahnya, lalu ia makan, dibawanya juga anggur kepadanya, lalu ia minum.	Dhabuna Ishak, "Kemma daging la’-ola’anna ba’na, bi’ sengko’ ekakana. Mon la mare, bi’ sengko’ ba’na eberkadana." Yakub ngatorragi daging jareya ka Ishak, epabareng ban anggur se egabay aeng dha’arra.
Berkatalah Ishak, ayahnya, kepadanya: "Datanglah dekat-dekat dan ciumlah aku, anakku."	Eppa’na pas adhabu, "Dha’ enna’an, Na’. Mara seyom sengko’."
Lalu datanglah Yakub dekat-dekat dan diciumnyalah ayahnya. Ketika Ishak mencium bau pakaian Yakub, diberkatinyalah dia, katanya: "Sesungguhnya bau anakku adalah sebagai bau padang yang diberkati TUHAN.	E bakto Yakub nyeyom eppa’na, eppa’na ngedhing bauna kalambina Esau, daddi Yakub laju eberkadi. Dhabuna, "Bauna tang ana’ padha ban bauna teggal se eberkadi PANGERAN.
Allah akan memberikan kepadamu embun yang dari langit dan tanah-tanah gemuk di bumi dan gandum serta anggur berlimpah-limpah.	Moga-moga bi’ Guste Allah ba’na eparengngana ebbun dhari langnge’, ban teggalla ba’na moga epalandhuwa! Moga-moga Allah marengana ba’na gandum ban anggur!
Bangsa-bangsa akan takluk kepadamu, dan suku-suku bangsa akan sujud kepadamu; jadilah tuan atas saudara-saudaramu, dan anak-anak ibumu akan sujud kepadamu. Siapa yang mengutuk engkau, terkutuklah ia, dan siapa yang memberkati engkau, diberkatilah ia."	Moga-moga sa-bangsa daddiya abdina ba’na ban ku-suku bangsa atelloga ka ba’na. Moga-moga ba’na ngobasa’ana la-balana, ban moga-moga na’ potona ba’na asojuda kabbi ka ba’na. Moga-moga oreng se abasto ba’na ekennenga babaston, ban reng-oreng se aberkadi ba’na kaparengana berkat keya."
Setelah Ishak selesai memberkati Yakub, dan baru saja Yakub keluar meninggalkan Ishak, ayahnya, pulanglah Esau, kakaknya, dari berburu.	Ishak la mare aberkadi Yakub. E bakto Yakub buru ondur, Esau laju dhateng dhari se ababurun.
Ia juga menyediakan makanan yang enak, lalu membawanya kepada ayahnya. Katanya kepada ayahnya: "Bapa, bangunlah dan makan daging buruan masakan anakmu, agar engkau memberkati aku."	Ollena dagingnga la eola epanyaman, pas egiba ka eppa’na. Ca’na Esau, "Pa’, ngereng alenggi, paneka’ daging ollena kaula se aburu, ngereng dha’ar, manabi lastare, kaula pas berkadi."
Tetapi kata Ishak, ayahnya, kepadanya: "Siapakah engkau ini?" Sahutnya: "Akulah anakmu, anak sulungmu, Esau."	Ba’na reya sapa? ca’na Ishak. Saodda Esau, "Kaula pottra sareyangnga sampeyan, Esau."
Lalu terkejutlah Ishak dengan sangat serta berkata: "Siapakah gerangan dia, yang memburu binatang itu dan yang telah membawanya kepadaku? Aku telah memakan semuanya, sebelum engkau datang, dan telah memberkati dia; dan dia akan tetap orang yang diberkati."	Ishak ce’ takerjadda, sampe’ ngetter sabadan, dhabuna, "Mon bariya sapa se nyambelli keban buruwan gella’, sarta ngeba ka sengko’ dagingnga se la eola gella’ rowa? Bi’ sengko’ gi’ buru mare ekakan sabellunna ba’na dhateng. Bi’ sengko’ oreng jareya la eberkadi; daddi berkat jareya salanjangnga ekaandhi’ oreng jareya."
Sesudah Esau mendengar perkataan ayahnya itu, meraung-raunglah ia dengan sangat keras dalam kepedihan hatinya serta berkata kepada ayahnya: "Berkatilah aku ini juga, ya bapa!"	E bakto ngedhing dhabuna eppa’na jareya, Esau laju nanges rat-tharadan sambi ngoca’, "Ngereng kaula berkadi jugan, Pa’!"
Jawab ayahnya: "Adikmu telah datang dengan tipu daya dan telah merampas berkat yang untukmu itu."	Dhabuna Ishak, "Sengko’ la etepo ale’na ba’na. Berkat se samasthena etarema ba’na la ekala’."
Kata Esau: "Bukankah tepat namanya Yakub, karena ia telah dua kali menipu aku. Hak kesulunganku telah dirampasnya, dan sekarang dirampasnya pula berkat yang untukku." Lalu katanya: "Apakah bapa tidak mempunyai berkat lain bagiku?"	Ca’na Esau, "Paneka ampon kadhukaleyanna kaula eco-koco. Patot ban nyamana Yakub. Ha’ sareyangnga kaula ampon ekala’, samangken berkat se samasthena etarema kaula ekala’ jugan. Ponapa sampeyan ta’ kaagungan karena berkat se kengeng eparengngagi ka kaula, Pa’?"
Lalu Ishak menjawab Esau, katanya: "Sesungguhnya telah kuangkat dia menjadi tuan atas engkau, dan segala saudaranya telah kuberikan kepadanya menjadi hambanya, dan telah kubekali dia dengan gandum dan anggur; maka kepadamu, apa lagi yang dapat kuperbuat, ya anakku?"	Dhabuna Ishak, "Bi’ sengko’ ale’na ba’na la epadaddi lorana ba’na, la-balana bi’ sengko’ epadaddi dunorra kabbi, gandum ban anggur bi’ sengko’ la esangowagi keya. Sateya sengko’ ta’ andhi’ pa-apa pole se ekenneng bagi ka ba’na, Na’!"
Kata Esau kepada ayahnya: "Hanya berkat yang satu itukah ada padamu, ya bapa? Berkatilah aku ini juga, ya bapa!" Dan dengan suara keras menangislah Esau.	Esau gi’ maksa nyo’on ka eppa’na, "Ponapa sampeyan pera’ kaagungan berkat samacem, Pa’? Ngereng kaula berkadi jugan, Pa’!" Samarena jareya Esau laju nanges pole.
Lalu Ishak, ayahnya, menjawabnya: "Sesungguhnya tempat kediamanmu akan jauh dari tanah-tanah gemuk di bumi dan jauh dari embun dari langit di atas.	Ishak adhabu, "Ba’na ta’ kera nemmo gaggarra ebbun dhari langnge’, ta’ kera andhi’ teggal se landhu.
Engkau akan hidup dari pedangmu dan engkau akan menjadi hamba adikmu. Tetapi akan terjadi kelak, apabila engkau berusaha sungguh-sungguh, maka engkau akan melemparkan kuk itu dari tengkukmu."	Ba’na bakal olleya pangoreban dhari peddhangnga, tape ba’na bakal daddiya dunorra ale’na. Nangeng mon ba’na aberonta’, ba’na bakal lopoda dhari kakobasa’anna."
Esau menaruh dendam kepada Yakub karena berkat yang telah diberikan oleh ayahnya kepadanya, lalu ia berkata kepada dirinya sendiri: "Hari-hari berkabung karena kematian ayahku itu tidak akan lama lagi; pada waktu itulah Yakub, adikku, akan kubunuh."	Esau sake’ ate ka Yakub polana berkadda eppa’na ebagi ka Yakub jareya. Ca’na pekkerra, "Eppa’ la para’ seda’a; samarena kasossa’an jareya bi’ sengko’ Yakub epateyana."
Ketika diberitahukan perkataan Esau, anak sulungnya itu kepada Ribka, maka disuruhnyalah memanggil Yakub, anak bungsunya, lalu berkata kepadanya: "Esau, kakakmu, bermaksud membalas dendam membunuh engkau.	Tape e bakto Ribka meyarsa maksodda Esau jareya, laju adikane Yakub, pas adhabu, "Edhingngagi, Na’, Esau amaksod malessa sake’na atena, mateyana ba’na.
Jadi sekarang, anakku, dengarkanlah perkataanku, bersiaplah engkau dan larilah kepada Laban, saudaraku, ke Haran,	Daddi sateya, Na’, mara ba’na patoro’ oca’. Kassa’ duli buru ka bengkona tang taretan se anyama Laban e Haran.
